query,pred,crnl_links
article 78,1,"protect and defend the Constitution of the United States."" Section 2. The President shall be ...  Section 1. The executive power shall be vested in a President of the United States of America. He ...  citizen, or a citizen of the United States, at the time of the adoption of this Constitution, shall be ...|Section 1. The judicial power of the United States, shall be vested in one Supreme Court, and in ...  this Constitution, the laws of the United States, and treaties made, or which shall be made, under ...  Congress may by law have directed. Section 3. Treason against the United States, shall consist only in ...|Article I, Section 8, Clause 11 of the U.S. Constitution grants Congress the power to declare war. ...  of war from Article II, Section 2, which names the President Commander-in-Chief of the armed forces. ...  Merryman, 17 F. Cas. 144 (D. Md.1861). Korematsu v. United States, 323 U.S. 214 (1944). Youngstown Sheet ...# section 17,https://www.law.cornell.edu/constitution/articleiv|https://www.law.cornell.edu/constitution/articleii|https://www.law.cornell.edu/constitution/articleiii"
1.51,1,"§ 1.510 How must I maintain records of my FSVP? (a) General requirements for records. (1) You must ...  are subject to the disclosure requirements under part 20 of this chapter. Section 1.510  ...|§ 1.510 Request for ex parte reexamination. (a) Any person may, at any time during the period of ...  18905, Apr. 16, 2007; 77 FR 46626, Aug. 6, 2012] Section 1.510  ...|by the patent owner under § 1.555 and by an ex parte reexamination requester under either § 1.510 or ...  other than the patent owner, or an ex parte reexamination requester under either § 1.510 or § 1.535, ...#https://www.law.cornell.edu/cfr/text/38/1.510|https://www.law.cornell.edu/cfr/text/21/1.510|https://www.law.cornell.edu/cfr/text/37/1.510"
$54 billion merger,0,#https://www.law.cornell.edu/topn/emergency_price_control_act_of_1942
$54 billion merger district appeals court,0,"Federal Courts Study Act  ...|Judicial Improvements and Access to Justice Act Pub. L. 100-702, Nov. 19, 1988, 102 Stat. 4642  ...|Rules Enabling Act  ...#https://www.law.cornell.edu/topn/court_interpreter_amendments_act_of_1988|https://www.law.cornell.edu/topn/federal_courts_study_act|https://www.law.cornell.edu/topn/judicial_improvements_and_access_to_justice_act"
37(c)(1),1,"Rule 37. Failure to Make Disclosures or to Cooperate in Discovery; Sanctions (a) Motion for an ...  including any of the orders listed in Rule 37(b)(2)(A)(i)–(vi). (2) Failure to Admit. If a party fails to ...  described in Rule 37(d)(1)(A) is not excused on the ground that the discovery sought was objectionable, ...|Rule 37. Indicative Ruling on a Motion for Relief That Is Barred by a Pending Appeal (a) Relief ...  Apr. 23, 2012, eff. Dec. 1, 2012.) Rule 37  ...|Rule 37. [Reserved] ...#https://www.law.cornell.edu/uscode/text/28a/courtrules-1/title-VII/courtrule-37|https://www.law.cornell.edu/uscode/text/28a/courtrules-2/title-V/courtrule-37|https://www.law.cornell.edu/uscode/text/18a/courtrules-1/title-VII/courtrule-37"
41-29-139,1,
1125,1,"§ 229.1125 (Item 1125) Schedule AL- Asset-level information. (a) The following definitions apply ...  manner specified in appendix to § 229.1125. Appendix to § 229.1125- Schedule AL Item 1. Residential ...|§ 1125. Repealed. Pub. L. 85–861, § 36A, Sept. 2, 1958, 72 Stat. 1569 § 1125  ...|§ 1125. Omitted § 1125  ...#https://www.law.cornell.edu/cfr/text/7/part-1125|https://www.law.cornell.edu/cfr/text/17/229.1125|https://www.law.cornell.edu/uscode/text/50/1125"
15 usc 1114,1,"60554) Title 34  ...|33-17-00, 33-18-00, 33-19-00, 34-17-00, 34-18-00, 34-19-00, 37-17-00, 37-18-00, 37-19-00, 38-17-00, ...|§ 34. Transferred § 34  ...#https://www.law.cornell.edu/cfr/text/49/1242.76|https://www.law.cornell.edu/uscode/text/34|https://www.law.cornell.edu/cfr/text/49/1242.32"
87100,1,"[§ 6907. Repealed. Pub. L. 87–100, § 1(1), July 21, 1961, 75 Stat. 218] § 6907  ...|§ 87.100 Conditions on use of funds. § 87.105 Definitions. § 87.110 Certification and disclosure. ...|Subpart A- General (§§ 87.100- 87.110) Subpart B- Activities by Own Employees (§§ 87.200- 87.210) ...#https://www.law.cornell.edu/cfr/text/24/87.100|https://www.law.cornell.edu/uscode/text/10/6907|https://www.law.cornell.edu/cfr/text/24/part-87/subpart-A"
404b,1,"§ 404b. Transferred § 404b  ...|below. § 404b  ...  § 404b. Administration, protection, and development; Federal Power Act inapplicable; minimum area ...|[§ 404. Renumbered § 474] § 404  ...#https://www.law.cornell.edu/uscode/text/37/404b|https://www.law.cornell.edu/uscode/text/50/404b|https://www.law.cornell.edu/uscode/text/16/404b"
713,1,"§§ 713a–1, 713a–2. Repealed. Pub. L. 87–155, § 1, Aug. 17, 1961, 75 Stat. 391 §§ 713a–1, 713a–2  ...|713.106-370 Partner vetting. Subpart 713.1  ...|§ 20.713 Rule 713. Hearings in simultaneously contested claims. (a) General. If a hearing is ...  (Authority: 38 U.S.C. 7105A) Section 20.713  ...#https://www.law.cornell.edu/uscode/text/15/713a%E2%80%931|https://www.law.cornell.edu/uscode/text/15/713a-1|https://www.law.cornell.edu/cfr/text/48/part-713/subpart-713.1"
1104,1,"§ 20.1104 Rule 1104. Finality of determinations of the agency of original jurisdiction affirmed on ...  7104(a)) Section 20.1104  ...|§ 385.1104 Initial petition (Rule 1104). (a) Content. (1) The petition must contain: (i) A full ...  394, 49 FR 35365, Sept. 7, 1984; Order 647, 69 FR 32440, June 10, 2004] Section 385.1104  ...|§ 229.1104 (Item 1104) Sponsors. Provide the following information about the sponsor: (a) State ...  position held. Instruction to Item 1104(g). The disclosure required under this item shall separately state ...  22, 2016] Section 229.1104  ...#https://www.law.cornell.edu/cfr/text/2/part-1104-1124|https://www.law.cornell.edu/cfr/text/38/20.1104|https://www.law.cornell.edu/cfr/text/18/385.1104"
18.2-248,1,"Freedom of Access to Clinic Entrances Act of 1994  ...|§ 18.2-248.1(a)(2) (Supp.1981) and § 18.2-10(e) (1975). This maximum is less than half the sentence Davis received. ...  of the two offenses for which the respondent was convicted. See Va.Code § 18.2-248 ...|80 Colo. 18, 248 P. 1009; Kansas City Light & Power Co. v. Midland Realty Co., 338 Mo. 1141, 93 ...#https://www.law.cornell.edu/supremecourt/text/319/551|https://www.law.cornell.edu/topn/freedom_of_access_to_clinic_entrances_act_of_1994|https://www.law.cornell.edu/supremecourt/text/454/370"
741.3,1,"Part 741-799  ...|Part 741-799  ...|§ 741. Repealed. Pub. L. 88–488, title IV, § 402(a)(3), Aug. 19, 1964, 78 Stat. 492 § 741  ...#https://www.law.cornell.edu/cfr/text/12/741.3|https://www.law.cornell.edu/cfr/text/21/part-741-799|https://www.law.cornell.edu/cfr/text/18/part-741-799"
12(b)(5),1,"30 373b 25 15, 18 373b 43 4, 30 373c 25 15, 18 373c 43 4, 30 374 25 15, 18 374 43 4, 30 375 25 16 ...|minors. Conn.Gen.Stat. § 53a-196b (1981); Va.Code § 18.2-374.1 (1982). Twelve States prohibit only the use ...#https://www.law.cornell.edu/cfr/text/40/52.970|https://www.law.cornell.edu/node/6190275|https://www.law.cornell.edu/supremecourt/text/458/747%26amp"
90,1,"§ 690i. Omitted § 690i  ...|§ 690h. “Person” defined As used in sections 690 to 690i of this title the term “person” includes ...  450.) § 690h  ...|§ 690g. Violation of laws and regulations; penalties Any person who shall violate or fail to ...  comply with any provision of, or any regulation made pursuant to sections 690d to 690i of this title ...  § 690g  ...#https://www.law.cornell.edu/uscode/text/16/690|https://www.law.cornell.edu/uscode/text/16/690i|https://www.law.cornell.edu/uscode/text/16/690h"
26,1,"§§ 226d, 226e. Omitted § 226d, 226e  ...|§ 226. “Federal Reserve Act” The short title of the Act of December 23, 1913, ch. 6, 38 Stat. 251, ...  shall be the “Federal Reserve Act.” (Dec. 23, 1913, ch. 6, § 1 (par.), 38 Stat. 251.) § 226  ...|§ 226. Powers of Interstate Commerce Commission unaffected Nothing in this chapter shall affect ...  15, 1921, ch. 64, title IV, § 406(a), 42 Stat. 169.) § 226  ...#https://www.law.cornell.edu/cfr/text/48/part-226/subpart-226.70|https://www.law.cornell.edu/uscode/text/30/226d|https://www.law.cornell.edu/uscode/text/12/226"
768.28,1,
3122,1,"§ 312.2 [Reserved] Section 312.2  ...|§ 3122. Definitions In this chapter: (1) Comprehensive economic development strategy The term ...  Stat. 3599; amended Pub. L. 108–373, title I, § 102, Oct. 27, 2004, 118 Stat. 1758.) § 3122  ...|§ 3122. Research The Secretary, in cooperation with the State and other appropriate Federal ...  and organizations. (Pub. L. 96–487, title VIII, § 812, Dec. 2, 1980, 94 Stat. 2428.) § 3122  ...#https://www.law.cornell.edu/uscode/text/7/3122|https://www.law.cornell.edu/cfr/text/31/312.2|https://www.law.cornell.edu/uscode/text/42/3122"
3217,1,§§ 3211 to 3217. Omitted §§ 3211 to 3217  ...|§ 321.7 [Reserved] Section 321.7  ...|§ 3217.10 What are unit agreements? § 3217.11 What are communitization agreements? § 3217.12 What ...  does BLM need to approve my communitization agreement? § 3217.13 When does my communitization agreement ...  go into effect? § 3217.14 When will BLM approve my drilling or development contract? § 3217.15 What ...#https://www.law.cornell.edu/uscode/text/20/3211|https://www.law.cornell.edu/uscode/text/20/3211|https://www.law.cornell.edu/cfr/text/44/321.7
12(B)(6),1,"30 373b 25 15, 18 373b 43 4, 30 373c 25 15, 18 373c 43 4, 30 374 25 15, 18 374 43 4, 30 375 25 16 ...|minors. Conn.Gen.Stat. § 53a-196b (1981); Va.Code § 18.2-374.1 (1982). Twelve States prohibit only the use ...#https://www.law.cornell.edu/cfr/text/40/52.970|https://www.law.cornell.edu/node/6190275|https://www.law.cornell.edu/supremecourt/text/458/747%26amp"
39-17-417,1,
2802,1,"Subpart 2802.1- Definitions (§ 2802.101) Authority: 28 U.S.C. 510; 40 U.S.C. 486(c); 28 CFR ...  0.75(j) and 28 CFR 0.76(j). Part 2802  ...|2802.101 Definitions. Throughout this chapter, the following words and terms are used as defined ...  2802.101  ...|§ 2802. Definitions For the purposes of this chapter, the term— (1) “ Administrator ” means the ...  preceding the semicolon probably should not appear. § 2802  ...#https://www.law.cornell.edu/cfr/text/48/part-2802/subpart-2802.1|https://www.law.cornell.edu/cfr/text/48/part-2802|https://www.law.cornell.edu/cfr/text/48/2802.101"
section 24-8-804. Hearsay rule exceptions; declarant unavailable,1,"§ 1000.30 May a Tribe/Consortium be selected to negotiate an AFA under section 403(b)(2) without ...  having or negotiating an AFA under section 403(b)(1)? Yes, a Tribe/Consortium may be selected to ...  negotiate an AFA under section 403(b)(2) without having or negotiating an AFA under section 403(b)(1). ...|construction programs or activities included in an AFA under section 403(c) of the Act? Yes, the relevant ...  conditions set forth in the AFA. Section 1000.247  ...|fishing allowance allocated to the inshore component under section 206(b)(1) of the AFA. (a) Definition. ...  AFA. Loan means the loan authorized by section 207(a) of the AFA. Net delivery value means the delivery ...  used in this subpart have the following meanings: American Fisheries Act (AFA) means Title II of Pub.L. ...#https://www.law.cornell.edu/cfr/text/25/1000.31|https://www.law.cornell.edu/cfr/text/25/1000.30|https://www.law.cornell.edu/cfr/text/25/1000.247"
558,1,"§ 558. Authorization of appropriations There are hereby authorized to be appropriated such sums, ...   So in original. The comma probably should not appear. § 558  ...|§ 558. Library, records, etc., of Department The Secretary of Labor shall have charge in the ...  Stat. 738.) § 558  ...|§ 558. Income tax deferment Notwithstanding any other provision of law, a Federal income tax ...  Stat. 2939; Pub. L. 100–26, § 8(c), Apr. 21, 1987, 101 Stat. 285.) § 558  ...#https://www.law.cornell.edu/uscode/text/16/558|https://www.law.cornell.edu/uscode/text/30/558|https://www.law.cornell.edu/uscode/text/29/558"
1027,1,§§ 1027.600-1027.670 [Reserved] Subpart F  ...|§ 1027.100 Definitions. Subpart A  ...|§ 1027.400 General. § 1027.410 Recordkeeping. Subpart D  ...#https://www.law.cornell.edu/uscode/text/30/1027|https://www.law.cornell.edu/cfr/text/31/part-1027/subpart-F|https://www.law.cornell.edu/cfr/text/31/part-1027/subpart-A
13-5,1,"§§ 1357, 1358. Omitted §§ 1357, 1358  ...|§§ 1357, 1358. Omitted §§ 1357, 1358  ...|§§ 1357, 1358. Omitted §§ 1357, 1358  ...#https://www.law.cornell.edu/uscode/text/48/1357|https://www.law.cornell.edu/uscode/text/48/1357|https://www.law.cornell.edu/uscode/text/48/1357"
chapter 13,1,§ 921 to 923- Omitted Chapter 15  ...|§ 2801- Imposition of tax Chapter 15  ...|714p) Chapter 15  ...#https://www.law.cornell.edu/uscode/text/12/chapter-15|https://www.law.cornell.edu/uscode/text/16/chapter-15|https://www.law.cornell.edu/uscode/text/26/subtitle-B/chapter-15
chapter 86,1,§ 921 to 923- Omitted Chapter 15  ...|§ 2801- Imposition of tax Chapter 15  ...|714p) Chapter 15  ...#https://www.law.cornell.edu/uscode/text/12/chapter-15|https://www.law.cornell.edu/uscode/text/16/chapter-15|https://www.law.cornell.edu/uscode/text/26/subtitle-B/chapter-15
90.803,1,"18 U.S.C. § 1382 First Amendment Military Installation public easement Trespass Can 18 U.S.C. ...  was convicted of violating 18 U.S.C. § 1382, which prohibits the reentry of persons barred from ...  Whether 18 U.S.C. § 1382, which prohibits a person from reentering a military installation after ...|§ 90.801 Applicability. § 90.802 Definitions. § 90.803 Emission defect information report. ...|§ 90.801 900 MHz SMR spectrum subject to competitive bidding. §§ 90.802-90.803 [Reserved] § 90.804 ...#https://www.law.cornell.edu/cfr/text/40/90.803|https://www.law.cornell.edu/supct/cert/12-1038|https://www.law.cornell.edu/cfr/text/40/part-90/subpart-I"
Rule 23,1,"§ 170. American Television and Radio Archives (a) Establishment and maintenance in Library of ...  90 Stat. 2601.) § 170  ...|§ 170.1 To which farmers markets does this rule apply? This rule applies only to the USDA Farmers ...  Section 170.1  ...|§ 170.1 Purpose. The regulations in this part set out fees charged for licensing services, ...  2016] Section 170.1  ...#https://www.law.cornell.edu/uscode/text/23/170|https://www.law.cornell.edu/uscode/text/2/170|https://www.law.cornell.edu/cfr/text/7/170.1"
20,1,"[§ 1209. Renumbered §§ 1205 and 1206] § 1209  ...|§ 1209. Applicability of Federal labor laws (a) Employee-management relations shall, to the extent ...  91–375, Aug. 12, 1970, 84 Stat. 737.) § 1209  ...|duty determination required for response to sexual assault Chapter 1209  ...#https://www.law.cornell.edu/uscode/text/45/1209|https://www.law.cornell.edu/uscode/text/5/1209|https://www.law.cornell.edu/uscode/text/39/1209"
35-38-1-17,1,
WCL Section 29,0,"13283-01-7 Tungsten chloride (WCl 6), (OC-6-11)- 1/6/05 3/7/05 13472-45-2 Tungstate (WO 4 2-), disodium, ...|13283-01-7 Tungsten chloride (WCl 6), (OC-6-11)- 1/6/05 3/7/05 13472-45-2 Tungstate (WO 4 2-), disodium, ...#https://www.law.cornell.edu/cfr/text/23/appendix-A_to_part_658|https://www.law.cornell.edu/cfr/text/40/712.30|https://www.law.cornell.edu/cfr/text/40/712.30"
404(b),1,"§ 404. Establishment of an advisory committee; composition and appointment The Secretary of the ...  § 404  ...|§ 404. Notice of copyright: Contributions to collective works (a) A separate contribution to ...  § 7(d), Oct. 31, 1988, 102 Stat. 2858.) § 404  ...|§ 404. High-visibility enforcement program (a) In General.— The Secretary shall establish and ...  Stat. 1543; Pub. L. 114–94, div. A, title IV, § 4004(a), Dec. 4, 2015, 129 Stat. 1500.) § 404  ...#https://www.law.cornell.edu/uscode/text/37/404|https://www.law.cornell.edu/uscode/text/30/404|https://www.law.cornell.edu/uscode/text/17/404"
16-13-2,1,
59,1,§ 459. Transferred § 459  ...|§ 459a–4. Omitted § 459a–4  ...|§ 459e–8. Omitted § 459e–8  ...#https://www.law.cornell.edu/cfr/text/14/part-441-459|https://www.law.cornell.edu/uscode/text/25/459|https://www.law.cornell.edu/uscode/text/16/459a-4
18.2-186.3,1,
18.2-308,1,
rule 4:1,1,of Advisory Committee on Rules—1946 Amendment The third sentence of Rule 68 has been altered to make ...  language of Rule 68 has been amended as part of the general restyling of the Civil Rules to make them more ...  intended to be stylistic only. Committee Notes on Rules—2009 Amendment Former Rule 68 allowed service of an ...|Rule 68 F.R.Civ.P. applies in adversary proceedings. References in Text The Federal Rules of Civil ...|Proceedings Against a Surety Rule 66. Receivers Rule 67. Deposit into Court Rule 68. Offer of Judgment Rule ...#https://www.law.cornell.edu/uscode/text/28a/courtrules-2/title-VIII/courtrule-68|https://www.law.cornell.edu/rules/frcp/rule_68|https://www.law.cornell.edu/rules/frbp/rule_7068
American Jurisprudence 2d (AMJUR),0,"Syllabus AMERICAN TRUCKING ASSOCIATIONS, INC. v. CITY OF LOS ANGELES, CALIFORNIA, () 660 F. 3d ...  STATES Syllabus AMERICAN TRUCKING ASSOCIATIONS, INC. v. CITY OF LOS ANGELES, CALIFORNIA, et al. ...  11–798_________________ AMERICAN TRUCKING ASSOCIATIONS, INC.,PETITIONER v. CITY OF LOS ANGELES,CALIFORNIA, et al. on writ ...|11–798_________________ AMERICAN TRUCKING ASSOCIATIONS, INC.,PETITIONER v. CITY OF LOS ANGELES,CALIFORNIA, et al. on writ ...  TRUCKING ASSOCIATIONS, INC. v. CITY OF LOS ANGELES, CALIFORNIA, et al. certiorari to the united states ...  Syllabus AMERICAN TRUCKING ASSNS., INC. v. LOS ANGELES () 660 F. 3d 384, reversed in part and ...|177 U.S. 558 (20 S.Ct. 736, 44 L.Ed. 886) CITY OF LOS ANGELES, Herman Silver, Z. D. Matthuss, et ...  al., Appts., v. LOS ANGELES CITY WATER COMPANY, Crystal Springs Land & Water Company, and S. G. ...  of an ordinance of the city of Los Angeles, adopted February 23, 1897, fixing the water rates to be ...#https://www.law.cornell.edu/supct/cert/11-798|https://www.law.cornell.edu/supremecourt/text/15-66|https://www.law.cornell.edu/supremecourt/text/11-798"
u.s. justice department amd 11 states sued,0,"criminal law Sixth Amendment Fifth Amendment criminal fines environmental law March 19, 2012 Oral ...  CRIMINAL FINES, FIFTH AMENDMENT, SIXTH AMENDMENT, ENVIRONMENT, CRIMINAL LAW In 2004, local youths broke ...  not the criminal fines that are at issue here. The decision in this case has implications for ...|criminal fines Fifth Amendment Sixth Amendment ENVIRONMENT criminal law When the court imposes ...  a criminal fine, do the principles of  Apprendi v. New Jersey, 530 U.S. 466 (2000) apply, requiring that the ...  applicable because it dealt with deprivations of life and liberty interests, not the criminal fines that are ...|because the sentencing court may consider mitigating factors such as a prior criminal history in ...  criminal law sentencing PRISON FELONY How should sentencing courts determine whether a defendant ...  Career Criminal Act? April 26, 2016 United States Court of Appeals for the Eighth Circuit The Supreme ...#https://www.law.cornell.edu/wex/seduction|https://www.law.cornell.edu/supct/cert/11-94|https://www.law.cornell.edu/supct/cert/11-94_0"
u.s. justice department and 11 states sued,0,"criminal law Sixth Amendment Fifth Amendment criminal fines environmental law March 19, 2012 Oral ...  CRIMINAL FINES, FIFTH AMENDMENT, SIXTH AMENDMENT, ENVIRONMENT, CRIMINAL LAW In 2004, local youths broke ...  not the criminal fines that are at issue here. The decision in this case has implications for ...|criminal fines Fifth Amendment Sixth Amendment ENVIRONMENT criminal law When the court imposes ...  a criminal fine, do the principles of  Apprendi v. New Jersey, 530 U.S. 466 (2000) apply, requiring that the ...  applicable because it dealt with deprivations of life and liberty interests, not the criminal fines that are ...|because the sentencing court may consider mitigating factors such as a prior criminal history in ...  criminal law sentencing PRISON FELONY How should sentencing courts determine whether a defendant ...  Career Criminal Act? April 26, 2016 United States Court of Appeals for the Eighth Circuit The Supreme ...#https://www.law.cornell.edu/wex/seduction|https://www.law.cornell.edu/supct/cert/11-94|https://www.law.cornell.edu/supct/cert/11-94_0"
52.1,1,"§ 52.17 Contents of applications; technical information. (a) For applications submitted before ...  required by § 52.17(c) effective on the date of docketing. (d) Each applicant for an early site permit ...  Dec. 12, 2013] Section 52.17  ...|§ 52.17 Forms of certificates. Inspection certificates, certificates of sampling or loading, and ...  Section 52.17  ...|§ 301-52.17 Within how many calendar days after I submit a proper travel claim must my agency ...  2000] Section 301-52.17  ...#https://www.law.cornell.edu/cfr/text/40/52.17|https://www.law.cornell.edu/cfr/text/10/52.17|https://www.law.cornell.edu/cfr/text/7/52.17"
301.91,1,"§ 301.91-4 Conditions governing the interstate movement of regulated articles from regulated areas ...  issued and attached in accordance with §§ 301.91-5 and 301.91-8 of this subpart; or (b) Without ...  been maintained. Section 301.91-4  ...|§ 301.91-1 Definitions. Terms used in the singular form in this subpart shall be construed as the ...  eligible for interstate movement in accordance with § 301.91-5(a). Compliance agreement. A written ...  article is eligible for interstate movement in accordance with § 301.91-5(b). Moved (movement, move). ...|§ 301.91-2 Regulated articles. The following are regulated articles: (a) Logs, pulpwood, branches, ...  means of conveyance is subject to the restrictions in the quarantine and regulations. Section 301.91-2  ...#https://www.law.cornell.edu/cfr/text/7/301.91-9|https://www.law.cornell.edu/cfr/text/7/301.91-4|https://www.law.cornell.edu/cfr/text/7/301.91-1"
18702.2,1,
12(g),1,"30 373b 25 15, 18 373b 43 4, 30 373c 25 15, 18 373c 43 4, 30 374 25 15, 18 374 43 4, 30 375 25 16 ...|minors. Conn.Gen.Stat. § 53a-196b (1981); Va.Code § 18.2-374.1 (1982). Twelve States prohibit only the use ...#https://www.law.cornell.edu/cfr/text/40/52.970|https://www.law.cornell.edu/node/6190275|https://www.law.cornell.edu/supremecourt/text/458/747%26amp"
2C:24-4,1,"Petitioner 46; see also Tr. of Oral Arg. 23:10–12; 24:13–25:2, 25:24–26:3. Again, the record does not support ...#https://www.law.cornell.edu/cfr/text/40/appendix-A_to_part_272|https://www.law.cornell.edu/supremecourt/text/14-981"
3.104(a),1,§ 3.104 Secretarial actions. (a) Actions in response to certification submissions for initial and ...  effective date and time of listing or delisting. Section 3.104  ...|§ 3.104 Space requirements. (a) General. Marine mammals must be housed in primary enclosures that ...  2001] Section 3.104  ...|3.104 Procurement integrity. Section 3.104  ...#https://www.law.cornell.edu/cfr/text/38/3.104|https://www.law.cornell.edu/cfr/text/42/3.104|https://www.law.cornell.edu/cfr/text/9/3.104
341(h)(7),1,"§ 341. Power to grant rights-of-way not affected Nothing in this act shall be so construed as to ...  391.) § 341  ...|Part 341-349  ...|§ 341. Repealed. Aug. 9, 1955, ch. 656, title III, § 307, 69 Stat. 589 § 341  ...#https://www.law.cornell.edu/uscode/text/48/341|https://www.law.cornell.edu/uscode/text/25/341|https://www.law.cornell.edu/cfr/text/24/part-341-349"
5G,1,"37-37.6 GHz Band- Shared coordinated service. § 30.8 5G Provider cybersecurity statement requirements. ...|the Inspectorate of Labor having jurisdiction over the work site, in accordance with Article 5g of ...|section 505(a) of the Gramm-Leach-Bliley Act (15 U.S.C. 6805(a)) and section 5g of the Commodity Exchange ...#https://www.law.cornell.edu/cfr/text/47/30.8|https://www.law.cornell.edu/cfr/text/47/part-30/subpart-A|https://www.law.cornell.edu/cfr/text/48/252.222-7003"
