query,y_n
"""365(p)(1)""",0.0
"""37(D)""",0.0
"""cplr article 50""",1.0
"""joinder"" ""9-11-13(h)"" ""FDCPA"" ""separate""",0.0
"""Rule 23""",0.0
13-6-11,0.0
13th,0.0
16-10-24,0.0
18.2-23,0.0
20-109,0.0
2018 NY Slip Op 31940(U),0.0
35-38-1-17,0.0
5:5-4,1.0
572n,0.0
801(d)(2)(D),0.0
atl2(duggan),0.0
California Code of Regulations Section 51503,0.0
ccp 877,0.0
Civil Code 3342,0.0
Labor Code 226,0.0
mandamus uscis i-360 special immigrant juvenile,0.0
motion to reopen i-130 denial,0.0
rule 107 misspelled defendant,0.0
stalking 4th ny,0.0
Waiver 41A,0.0
WCL Section 29,0.0
1.5,0.0
46.02,0.0
56,0.0
148.6,0.0
1094.5,0.0
1404,0.0
1714.45,0.0
2025.28,0.0
6425,0.0
"""1983""",0.0
"""404(b)""",0.0
"""60-456""",0.0
"""article 62""",0.0
"""chapter 13""",0.0
13-907,0.0
1-52(16),0.0
16-13-2,0.0
19-6-15,0.0
38.2-2206,0.0
431(b),0.0
59(e),0.0
911 call,0.0
Anti-SLAPP,0.0
bmv 2255,0.0
C7 fracture,0.0
family code section 2108,0.0
penal 10,0.0
statutory disqualification fdic order bar 15(b)(4)(H),0.0
59,0.0
244,0.0
361,0.0
609,0.0
713.58,0.0
768.81,0.0
948.06,0.0
1002,0.0
1328,0.0
2919.25,0.0
25137,0.0
"""1030""",0.0
"""2921.38""",0.0
"""80 Stat. 220""",0.0
"""Chapter 95""",0.0
"""or the like"" 112b indefinite",0.0
12(b)(2),0.0
15.2-940,0.0
18.2-186.3,0.0
18.2-308,0.0
18.2-51,0.0
19.2-82.1,0.0
2 Mechem,0.0
24-9-901,0.0
25-324 (B),0.0
55-10-401,0.0
AAA Matter No. 73 160 00332 11,0.0
AL700,0.0
CCP 1542,0.0
ccp 425.16,0.0
fam code 2040,0.0
labor code 1102.5,0.0
N.C. Gen. Stat. § 58-63-15(11)(f),0.0
"ny 5015 ""child support""",0.0
rule 4,0.0
rule 4:1,0.0
rule 60(b),0.0
rule 804,0.0
substantial change circumstances,0.0
title 9,0.0
128.5,0.0
559.905,0.0
998,0.0
1048,0.0
1798.93,0.0
2033.22,0.0
5276,0.0
11350,0.0
"""12(a)(4)(a)""",0.0
"""1404""",0.0
"""3.353""",0.0
"""42 U.S.C. § 1983""",0.0
"""470.25(2)(d)""",0.0
"""American Jurisprudence 2d (AMJUR)""",1.0
"""cplr 3116""",1.0
"""lewd and lascivious"" ""florida statute 800.02""",0.0
"""rule 20""",0.0
"""section 301""",0.0
"%25""spencer bachus""",0.0
§84.007,0.0
1.442(c)(4),1.0
1123(a)(5)(d),0.0
16-13-240,0.0
16-4-8,0.0
18.2-10,0.0
2255 + sentencing guidelines + challenge,0.0
26.2601-1(b)(1)(iv) inclusion ratio qualified severance,0.0
3211(a)(7),0.0
35-3-37,0.0
36-6-108,0.0
39-16-201,0.0
46.2-301,0.0
501(c)(3),0.0
60(b),0.0
965(g),0.0
97-48,0.0
ca Code Civ. Proc.,1.0
ccp 430.41,0.0
ccp 998,0.0
cplr 327 interest of justice,0.0
education law 3020-a,0.0
family code 721,0.0
FELA; slip and fall; notice; negligence,0.0
KRE 403 exclusions,0.0
labor code 3600,0.0
law360,0.0
nevada rule of civil procedure 45,0.0
penal code 1000,0.0
pub utilities code 24300,0.0
References to: O.C.G.A. § 9-11-38,0.0
rule 403,0.0
rule 54,0.0
Rule 60(b)(6),0.0
8.104,0.0
41.1395,0.0
52.1,0.0
90.502,0.0
301.91,0.0
307.4,0.0
1028,0.0
1099,0.0
1108,0.0
3215,0.0
4660.1,0.0
18702.2,0.0
"""137 F.2d 632""",1.0
"""199926030""",0.0
"""26(a)(2)""",0.0
"""3212(f)""",0.0
"""405(b)""",0.0
"""50%25""",0.0
"""income tax"" resident 183",0.0
"""issue 2""",0.0
"""rule 12(f)""",0.0
"""Rule 30(b)(6)""",0.0
"""Section 5""",0.0
1104(a),0.0
1123(A)(5),0.0
12(g),0.0
120 ALR 557,0.0
18 ussc 2252A,0.0
"18.2-248 ""eight ball"" reversed",0.0
2.2-3705.6,0.0
2C:24-4,1.0
3.104(a),0.0
341(h)(7),0.0
40-2-140,0.0
456-7,0.0
55-79.43,0.0
58.1-3984,0.0
5G,0.0
aggressor 16.04,0.0
article 16,0.0
Brann v. Williams,0.0
ccp 2017.010,0.0
class 4 severity F hip injury sedentary work capacity,0.0
"debtor moved reconsider ""confirmation order"" ""3008""",0.0
DRL 240,0.0
federal rules of civil procedure 12,0.0
federal rules of civil procedure 26,0.0
general municipal law 207-c,0.0
labor code 5500.5,0.0
M.R.E. 412(b)(1),0.0
MRE 201 Judicial Notice,0.0
objection 1.360 cumulative,0.0
reasoning level 2,0.0
rule 56,0.0
Rule 56. Summary judgment,0.0
Rule 60(b)(5) motion granted,0.0
Section 1557,0.0
1.14,0.0
1.31,0.0
1.351,0.0
12,0.0
12.42,0.0
49.325,0.0
69.081,0.0
83.57,0.0
145,0.0
232,0.0
245,0.0
440.205,0.0
542.335,0.0
718.303,0.0
743.015,0.0
1060,0.0
1302.31,0.0
1332,0.0
1538.5,0.0
2031.28,0.0
3103,0.0
4123.931,0.0
120161760,0.0
200103034,0.0
"""152.211"" and",0.0
"""28 U.S.C. §292(d)""",
"""2925.11""",0.0
"""3101""",0.0
"""316.1945(1)(a)""",0.0
"""37.9*""",0.0
"""4:10-3""",1.0
"""43 P.S. § 954(c)""",0.0
"""5.1""",0.0
"""580d""",0.0
"""R.C. 2315.19""",
"""rule 3.7""",1.0
"""rule 406""",0.0
"""Tex. R. Civ. P. 193.3(b)""",1.0
§ 125.121 Stipulation by Counsel [Code Civ. Proc. § 283(1)] to Consolidation of Actions [Code Civ. Proc. § 1048(a)],0.0
15(a),0.0
1601.12 Contents of charge; amendment of charge.,0.0
16-15-4,0.0
1692g,0.0
17-P-1425,0.0
18.2-137,0.0
19.2-187.1,0.0
1923.04 conspicuous,0.0
23(f),0.0
24-4-48,0.0
24-9-902,0.0
271(a) method drug label,0.0
36(a),0.0
362(c),0.0
39-17-418,0.0
40-6-241,0.0
42 usc 1983,0.0
4TH amendment waiver parolees,0.0
5(b)(2)(D),1.0
5015(a)(5),0.0
56(h),0.0
702 expert excluded review relevant materials discovery,0.0
8.01-277,0.0
9:6-1 abuse child unnecessary pain and suffering,0.0
ada 504 school district juvenile court,0.0
Cal Civ Code § 2924.12 material violation,0.0
ccp 128.5,0.0
ccp 2030.010,0.0
ccp 2031.010,0.0
CCP 425.15,0.0
chapter 13 eligibility 109 under secured debt,0.0
CR 76.36,0.0
Fed. R. Crim. P. 15 defines a party as,0.0
Fla. stat. 768.0755 mode of operation,0.0
labor code 226,0.0
liberal standard rule 15(c),0.0
literal* fals* lanham act 43(a),0.0
local rule 16-3,0.0
magner chapter 11 interim fee application,0.0
MCL 691.1404 and witness,1.0
motion to consolidate rule 42,0.0
Motion to dismiss 12(b)(5),0.0
njre 803c(6),0.0
penal code 1170.91,0.0
people v harris ad2d 887,0.0
pl 263.11,0.0
relief from stay chapter 13 grounds lack of confirmable plan,0.0
rule 15,0.0
Rule 45,0.0
Rules of Court 3.1324,0.0
S234969,0.0
SB-766,0.0
Section 3902,0.0
SHERMAN ACT o Section 1 violation has three elements: (1) an agreement; (2) which unreasonably restrains competition; and (3) which affects interstate commerce.,0.0
So,0.0
Texas Rule of Civil Procedure 93,0.0
uim exhaust multiple claimants 38a-336(b),0.0
1.35,0.0
15.01,0.0
15.4,0.0
42,0.0
90.403,0.0
169,0.0
408,0.0
523,0.0
603,0.0
817.234,0.0
1094.6,0.0
2025.23,0.0
2744,0.0
4615,0.0
5101,0.0
6103,0.0
10,0.0
120141988,0.0
"""""316.10(b)(3(iii)",1.0
"""2953.08"" ""contrary to law"" ""community control sanctions""",0.0
"""3",0.0
"""31 U.S.C. § 1341""",0.0
"""42 U.S.C. 1983""",0.0
"""549 S.W.3d""",1.0
"""Article 78""",0.0
"""Fed. R. Crim. P. 42(a) """,1.0
"""Rule 404""",0.0
12(e),0.0
15.2-2285(F),
16.1-260,0.0
16-11-131,0.0
16-P-0985,0.0
16-P-1360,0.0
16-P-1525,0.0
16-P-985,0.0
18.2-77,0.0
1998 cr 07272 + John Smith,0.0
20-106,0.0
20-107.3,0.0
2255 + ineffective assistance of counsel + sentencing guidelines,0.0
24-8-801,0.0
2614(a)(2),0.0
271(g),0.0
3-310(C)(3),1.0
33-18-242,0.0
35-50-2-8,0.0
37-11-18,0.0
39-13-527,0.0
4:26-5,1.0
42-8-111,0.0
55-243,0.0
57-2-3,0.0
761(a)(1) department of corrections,0.0
9-318(4),1.0
"atl2(""breach of contract"")",0.0
CCP 1033.5,0.0
ccp 2033.010,0.0
CCP 2034.210,0.0
CCP 2034.300,0.0
ccp 435,0.0
CGC 05444413,0.0
Civil Code 1066,0.0
D5,0.0
Federal Rules of Evidence 803(6),0.0
FLSA preempts Plaintiff%2019s SCPWA Motion to Dismiss,0.0
Foreign Investment Risk Review Modernization Act of 2018,0.0
MCS-90,0.0
No. 337-TA-794,0.0
not admissible evidence under FRE 1006,0.0
oac 5160-2-09,0.0
opposition to 12b6 motion to dismiss whistleblower,0.0
penal code 1001.36,0.0
penal code 1192.7,0.0
penal code 1203,0.0
penal code 825,0.0
rule 34,0.0
Rule 59,0.0
55:40.6,1.0
23:13,1.0
1.38,0.0
1.9,0.0
2.4,0.0
3.134,0.0
12.14,0.0
50,0.0
69,0.0
90.404,0.0
106,0.0
202.7,0.0
255,0.0
308,0.0
352,0.0
395.5,0.0
452.375,0.0
473,0.0
516.35,0.0
605.0411,0.0
610.14,0.0
690.3,0.0
709.2116,0.0
711,0.0
713.16,0.0
736.0813,0.0
1202,0.0
1321.51,0.0
2019.21,0.0
2117.06,0.0
2214,0.0
3105.171,0.0
3333.4,0.0
3712,0.0
4112,0.0
9240003,0.0
"""2111""",0.0
"""231(c)""",0.0
"""312 F.2d 418""",1.0
"""3148(2)""",0.0
"""35 u.s.c. § 145""",0.0
"""7702""",0.0
"""93.002(e)""",0.0
"""publication 1""",0.0
§ 552A Contributory Negligence,0.0
1.163(j),0.0
11th amendment immunity,0.0
128.7 sanctions,0.0
1404!,0.0
15-112,0.0
16.1-253,0.0
16-5-91,0.0
16-8-14,0.0
17-P-343,0.0
18.2-172,0.0
18.2-268.2,0.0
18.2-374.3,0.0
19.2-268.2,0.0
19-9-3,0.0
22-4504,0.0
29-26-121,0.0
2B1.1,0.0
3211(a)(1),0.0
34-11-2-1,0.0
362(b)(22),0.0
362(k) defenses,0.0
49-13,0.0
5 101. RETENTION OF FINANCIAL INSTITUTION RECORDS,0.0
506(b),0.0
547(e)(2)(A),0.0
56.29(9),0.0
58-50-56,0.0
5th amendment,0.0
61-2802,0.0
7.105.1,0.0
7:10-2,1.0
720.305 fees,0.0
76-5-404.1,0.0
9-11-!,1.0
934.03 intercept contemporaneous,0.0
cal civ pro 438,0.0
CCP §1021,0.0
ccp 1005,0.0
ccp 1987.1,0.0
ccp 2025.410,0.0
CCP 426.30,0.0
ccp 436,0.0
civil code 1624,0.0
code of civil procedure 583.410,0.0
consensusdocs 510,0.0
criminal rule 4,0.0
drug-free workplace act of 1988,0.0
ER 613,0.0
Fed. R. Evid. 403 unfair prejudice,0.0
Federal Rule of Evidence 411,0.0
finra arbitration 09-00378,0.0
FOIL-AO-9978,0.0
FRCP 26,0.0
Illinois regulation 100.3380,0.0
"IRC Section 162(a) deduction ""breach of fiduciary duty""",0.0
Judiciary Law 487,0.0
Labor Code 3501,0.0
Labor Law 241(6),0.0
lien law 19(6),0.0
NJ 2A-14-4,0.0
number(1:15-cv-518),0.0
Permissible sex discrimination in employment based on Bona Fide Occupational Qualifications (BFOQ) under § 703(e)(1) of Title VII of Civil Rights Act of 1964 (42 U.S.C.A. § 2000e-2(e)(1)),0.0
PL 120.05(6),0.0
R. 1:13-7,0.0
rule 26(f),0.0
rule 35,0.0
Rule 60(b)(4) due process subpoena,0.0
Section 19-10-26,0.0
Senate Bill 766,0.0
trial rule 15,0.0
VTL 1194,0.0
1.36,0.0
7.1,0.0
22,0.0
52.07,0.0
74.04,0.0
90.503,0.0
209,0.0
316.126,0.0
316.193,0.0
363,0.0
379.321,0.0
405,0.0
733.617,0.0
744.444,0.0
768.31,0.0
768.36,0.0
856.015,0.0
904.03,0.0
1110,0.0
1322.01,0.0
1401,0.0
1545.21,0.0
1861.05,0.0
2921.41,0.0
3101,0.0
3119.962,0.0
3212,0.0
4903.8,0.0
12022.7,0.0
"""08.98.235""",0.0
"""1.163""",0.0
"""15-1009""",0.0
"""2018""",0.0
"""21 C.F.R. § 202.1(e)(6)""",
"""2810.3""",0.0
"""292.5(a)""",0.0
"""3.104(a)""",0.0
"""414(k)""",0.0
"""4905.02(A)(2)""",0.0
"""5 C.F.R § 1201.59(c)""",1.0
"""508.010.4""",0.0
"""54:32B-8.53""",0.0
"""A.R.S. § 13-1814""",1.0
"""class: 30"")",0.0
"""CONN. GEN. STAT. 52-193""",1.0
"""CPLR § 603"" ""declaratory""",0.0
"""End result test 72 Taxes 722""",1.0
"""export control reform act of 2018""",1.0
"""FAA 20121602F""",1.0
"""is subject to monitoring by the Trade Representative under section 306 of the Trade Act of 1974""",1.0
"""ley num. 246""",1.0
"""LR-42-73""",0.0
"""Military Lending Improvement Act of 2018""",1.0
"""N.J.A.C. 14:18-4.6""",1.0
"""N.J.S.A. 34:13A-5.4(a)5"" ""refusing to negotiate"" forgot neglected",0.0
"""proposition 64"" + license + sale",0.0
"""residency"" 183",0.0
"""RPAPL 711""",
"""Rule 1033""",1.0
"""Rule 41""",0.0
"""Rule 45(f)""",0.0
"""sec. 880""",1.0
"""Section 705""",0.0
"""uniform superior court rule 6.5""",1.0
§ F17.07 Age Discrimination in Employment (Age Discrimination in Employment Act,0.0
05-1070,0.0
104-South East-103,0.0
11 usc 324,0.0
13-21-102,0.0
1332(d),0.0
138 s.ct.,0.0
14-10-115,0.0
14-10-124,0.0
16-11-106,0.0
1692c(c),0.0
17-P-840,0.0
18.2-371.1,0.0
19.2-81.3,0.0
2.116(C)(8),0.0
2016 Pa. Dist. & Cnty. Dec. LEXIS 1201,0.0
"2255 + vague + ""crime of violence"" + sentencing guidelines",0.0
2255 ineffective assistance witness reversed,0.0
23.51 CHECKLIST: Making and Opposing Motions in Limine.,0.0
24-8-803,0.0
26(b)(4),0.0
30(b),0.0
33.2-1200,0.0
3380(d),0.0
35 U.S.C. § 156,0.0
35-34-1-5,0.0
397.6955 Duties of court upon filing of petition for involuntary services.%2014,0.0
4:14-1,1.0
40-32-101,0.0
40-5-20,0.0
42 Cal. 3d 490 feha hoa,0.0
42 USC 1985(2) conspiracy,0.0
46.2-817,0.0
46:15-10,1.0
50 state survey,0.0
52.08(a)(3),0.0
52-572n,0.0
5500.5 apportionment,0.0
6-29-1145,0.0
659a,0.0
66-7-109,0.0
717B.4,0.0
72-1-1,0.0
9-11-9.1,0.0
924(c),0.0
97-88,0.0
Article 134 kidnapping,0.0
atl3(lodestar),0.0
atl3(moot),0.0
c.c.p. 877.5,0.0
california assembly bill 950,0.0
ccp 1985,0.0
ccp 2025.220,0.0
ccp 2025.250,0.0
ccp 337,0.0
ccp 437,0.0
Civil Code section 2079,0.0
civil service law 26.1,0.0
civil service law section 75,0.0
co conspirator 4.2 communication separate matter,0.0
code of civil procedure 1005,0.0
code of civil procedure 1008,0.0
cplr 1024,0.0
cplr 4519 cannot affirmatively seek dismissal,0.0
CR 45,0.0
Docket No. M-00960890,0.0
"Elements 43(a) Lanham Act ""false description""",0.0
family code 3011,0.0
gml 50(E),0.0
Gooding%2019s Supermarket,0.0
I-751,0.0
Indiana child support guideline 4,0.0
L.R. 8001,0.0
labor code 203,0.0
Labor Code 5402,0.0
labor law 193,0.0
LR2-308,0.0
mass g.l. c. 272 section 77,0.0
motion for early trial criminal rule 4,0.0
"N.Y. Penal Law sec. 130.52 ""intimate parts"" ""kissing""",0.0
Nestle USA,0.0
nlj 500,0.0
No. 18-cv-1261,0.0
NY penal code 210,0.0
object motion to remand rule 72 magistrate district judge,0.0
penal 120.00,0.0
penal code 1203.2,0.0
penal code 1381,0.0
penal code 290,0.0
restatement 2d tort,0.0
restatement 402 a,0.0
rule 26(a) initial disclosure form,0.0
rule 45 third party subpoena,0.0
rule 5(a)(1)(C),0.0
rule 54(b) annotated,0.0
rule 59 motion for new trial clear weight of the evidence,0.0
Rule 60(b),0.0
scope rule 4.11,0.0
Stay of trial court on 306 appeal,0.0
tea chapter 21 non-renewal contract year,0.0
USERRA 8th,0.0
virginia code of professional responsibility DR 7-102,0.0
VTL 511,0.0
1.42,0.0
4.2,0.0
8.3,0.0
32,0.0
74.351,0.0
77.07,0.0
83.51,0.0
90.61,0.0
150,0.0
530.5,0.0
637,0.0
715.07,0.0
718.112,0.0
726.105,0.0
768.0755,0.0
817.52,0.0
1012,0.0
1019,0.0
1054.1,0.0
1161,0.0
1248,0.0
1304,0.0
2127.2,0.0
2695.5,0.0
2744.02,0.0
2929.14,0.0
3119.961,0.0
4123.93,0.0
5201,0.0
7031,0.0
10629,0.0
"""11-2101""",1.0
"""12(B)(7)""",0.0
"""12(b)(7)""",0.0
"""1604.11(e)""",0.0
"""18 usc 2251""",0.0
"""206(4)-5""",0.0
"""30(b)(6) deposition""",0.0
"""33(d)""",0.0
"""365(a)""",0.0
"""404.0035""",0.0
"""42 u.s.c. 1983""",0.0
"""523(a)(6)""",0.0
"""60(b)""",0.0
"""60(B)(2)""",0.0
"""65(c)""",0.0
"""655.059""",0.0
"""65589.5""",0.0
"""CPLR 3025""",1.0
"""cplr 3108""",1.0
"""CPLR 4518""",1.0
"""internal revenue code"" 306 redemption",0.0
"""MCS 90""",0.0
"""Proposition 65""",1.0
"""rule 23""",0.0
"""rule 26""",0.0
"""Rule of 78's""",1.0
"""Strike 3 Holdings""",1.0
§ 33.12 The Motion to Dismiss,0.0
1.1502-36,0.0
1003.18(a),0.0
1099-c,0.0
12.540 extrinsic fraud,0.0
14-10-113,0.0
14-208.6,0.0
15 u.s.c 15,0.0
15 usc 15,0.0
16-13-31,0.0
16-9-121,0.0
1702 Texas Occupations Code,0.0
17a-3,0.0
17-P-538,0.0
18.2-248.1,0.0
18.2-479.1,0.0
18.2-51.1,0.0
18.2-60,0.0
18-12-108,0.0
19.2-120,0.0
19.2-243,0.0
19.25 acres of land,0.0
2001 WL 391552,0.0
2016 WL 8787118,0.0
2017 WL 3392855,0.0
2018 Cal. Wrk. Comp. P.D. LEXIS,0.0
20-91,0.0
216-RICR-40-10-20,0.0
2-2-121,0.0
23-1.7(e)(2),0.0
26(a)(2)(C),0.0
26(B),0.0
2925.12(A),0.0
2K2.1(b)(6)(B),0.0
33-7-11,0.0
362(c)(3),0.0
39-1401,0.0
3B:22-7,1.0
4.125(a),0.0
4:6-2(b),1.0
40-6-395,0.0
42 USCS § 1983 police,0.0
42-1-12,0.0
4-405,0.0
473(b) mental health issues,0.0
5 usc 15,0.0
5.10 * CLEAR AND CONVINCING EVIDENCE,0.0
50-6-204(b)(2),0.0
55-248.34,0.0
56-6-125,0.0
63.2-1720.1,0.0
64.2-105,0.0
718.113(5),0.0
8.01-670.1,0.0
9-318,
937-409-6110,0.0
Atlantic Marine 134 SCt at 577,0.0
bankruptcy code section 362,0.0
BUSINESS AND PROFESSIONS CODE SECTION 6204,0.0
CCP § 437c,0.0
CCP 1013,0.0
CCP 2025.420,0.0
Chapter DOC 328,0.0
Civ. R. 55(A),0.0
civil code 1668,0.0
clean are act injuncti! grant 42 usc 7401 (d),0.0
code of civil procedure 473,0.0
cpl 330.20,0.0
DCHRA 70 years old,0.0
evidence code 1040,0.0
evidence code 1523,0.0
excessive profits by a renegotiation as defined in section 1481,0.0
fdcpa 3201,0.0
federal rule civil procedure 26(e)(1)(A),0.0
FLSA 215(a)(3),0.0
Gov Code 810 et seq,0.0
government code 6255,0.0
government code 835,0.0
inmate,0.0
La. Civil Service Rule 13.12,0.0
