,name,n_or_f
186,12.35,0.0
187,12.35,0.0
188,12.35,0.0
189,12.38,0.0
190,12.39,0.0
191,12.42,0.0
192,12.44,0.0
195,12.44,0.0
196,12.45,0.0
197,12.51,0.0
198,13,0.0
199,13,1.0
201,13,1.0
202,13,1.0
203,13,1.0
204,13,1.0
205,13.21,0.0
206,14,0.0
207,14,1.0
208,14,1.0
210,14,1.0
211,14,1.0
212,14,1.0
213,14,1.0
214,14,1.0
215,14,1.0
217,14.156,0.0
218,15.01,0.0
219,15.206,0.0
220,15.4,0.0
221,15.504,0.0
222,17,0.0
225,17,1.0
226,17,1.0
228,18.9,0.0
229,19,0.0
230,19,1.0
232,19,1.0
233,19,1.0
235,19.36,0.0
237,22.01,0.0
238,24.01,0.0
239,24.017,0.0
240,25.03,0.0
241,25.4,0.0
244,27.005,0.0
245,28.1,0.0
246,28.424,0.0
247,30.006,1.0
248,30.3,0.0
249,31.5,0.0
250,31.7,0.0
251,32,0.0
252,32,1.0
254,32,1.0
255,32.01,0.0
256,32.1,0.0
257,32.31,0.0
258,33,0.0
259,33,1.0
261,33,1.0
262,33,1.0
263,33.01,0.0
264,33.1,0.0
265,33.3,0.0
266,33.43,0.0
267,34,0.0
268,34,0.0
269,34,1.0
270,34,1.0
271,34,1.0
272,34.01,0.0
273,37,0.0
275,37,1.0
276,37,1.0
277,37,1.0
278,37,1.0
279,37,1.0
281,37.9,1.0
282,38.001,0.0
283,38.02,0.0
284,38.03,0.0
285,38.06,0.0
286,38.1,0.0
287,38.23,0.0
288,39.0136,0.0
290,40,0.0
291,40,1.0
293,40,1.0
295,41,1.0
296,41,1.0
297,41,1.0
298,41,1.0
300,41.1395,0.0
301,42,0.0
303,42,0.0
304,42,0.0
306,42,1.0
307,42,1.0
308,42,1.0
309,42,1.0
310,42,1.0
311,42,1.0
312,42,1.0
313,42,1.0
314,42,1.0
315,42,1.0
316,42,1.0
317,42,1.0
318,42,1.0
319,42,1.0
320,42,1.0
321,42,1.0
324,42,1.0
325,42,1.0
327,43.5,0.0
329,44,1.0
330,44,1.0
331,44,1.0
332,44.102,0.0
333,44.103,0.0
335,45,0.0
336,45,1.0
337,45,1.0
338,45,1.0
339,45.031,0.0
340,46.0111,0.0
341,46.02,0.0
344,47,1.0
345,47,1.0
346,47,1.0
347,47,1.0
348,48.031,0.0
350,49,0.0
351,49,1.0
352,49,1.0
353,49,1.0
354,49,1.0
355,49.325,0.0
356,50,0.0
357,50,1.0
358,50,1.0
359,50,1.0
360,50,1.0
361,50,1.0
362,50,1.0
363,51.002,0.0
364,51.035,0.0
365,52.02,0.0
366,52.07,0.0
367,52.12,0.0
368,52.229,0.0
369,53.208,0.0
370,54,0.0
371,54,0.0
372,54,0.0
373,54,0.0
374,54,1.0
375,54,1.0
376,54,1.0
377,54,1.0
379,54,1.0
381,54,1.0
382,54.1,0.0
383,55,0.0
384,55,1.0
385,55.509,0.0
387,56,0.0
388,56,1.0
389,56.085,0.0
390,56.1,0.0
391,57,0.0
392,57,1.0
393,57.1,0.0
395,60,0.0
396,60,0.0
397,60,1.0
398,60,1.0
400,60,1.0
402,60,1.0
403,60,1.0
404,60,1.0
405,60.01,0.0
406,60.02,0.0
407,61,0.0
408,61,1.0
410,61.075,0.0
412,62,0.0
415,63,0.0
416,63,1.0
417,64.04,0.0
418,65,0.0
419,68.065,0.0
421,70.22,0.0
422,71,0.0
423,71,1.0
425,72,1.0
426,72,1.0
427,74.04,0.0
428,74.051,0.0
429,77.07,0.0
430,78.065,0.0
431,79.01,0.0
432,81,0.0
433,81,1.0
434,82,0.0
435,82,1.0
436,82.04,0.0
437,83.06,0.0
438,83.48,0.0
440,83.53,0.0
441,83.57,0.0
442,83.6,0.0
443,85.22,0.0
444,85.23,0.0
446,86,1.0
447,87,0.0
448,87.146,0.0
449,87.226,1.0
450,88.11,0.0
451,90.201,0.0
452,90.202,0.0
454,90.401,0.0
456,90.403,0.0
457,90.404,0.0
458,90.502,0.0
459,90.503,0.0
460,90.504,0.0
461,90.507,0.0
462,90.61,0.0
464,90.801,0.0
465,90.802,0.0
466,90.804,0.0
468,92.251,0.0
469,92.5,0.0
471,100.1,0.0
472,100.18,0.0
474,101,0.0
475,102.29,0.0
476,103,0.0
477,103,1.0
480,106,1.0
481,106,1.0
482,106,1.0
483,107,0.0
484,109,0.0
485,110,0.0
487,110,1.0
488,110.03,0.0
490,112,0.0
491,113.085,0.0
492,115.001,0.0
493,117.1,0.0
494,117.1,0.0
495,119,0.0
496,119.021,0.0
497,119.12,0.0
498,120,0.0
500,120,1.0
502,120,1.0
503,120,1.0
504,120.05,0.0
506,121,0.0
507,124.34,0.0
509,128,0.0
510,128.5,0.0
511,131,0.0
513,136,0.0
514,136,1.0
515,137.073,0.0
516,138,0.0
517,139.21,0.0
518,141,0.0
519,141.206,0.0
522,148.3,0.0
523,148.6,0.0
525,151.077,0.0
526,151.105,0.0
527,151.131,0.0
528,152,0.0
529,152.202,0.0
530,153,0.0
531,153.031,0.0
532,159.01,0.0
534,162,1.0
536,164.26,0.0
537,165,0.0
538,166.15,0.0
539,167,0.0
540,167,1.0
542,168.118,0.0
544,169,1.0
545,169.121,0.0
546,170,0.0
548,170.1,0.0
549,170.1,0.0
550,170.1,0.0
551,170.1,1.0
552,170.1,1.0
553,170.56,0.0
554,171.06,0.0
555,172,0.0
556,174.02,0.0
557,175,0.0
558,175,1.0
559,177.5,0.0
560,178,0.0
562,180,0.0
563,180,1.0
565,182,0.0
566,182.1,0.0
567,186.054,0.0
568,186.056,0.0
569,190.46,0.0
571,193.6,0.0
572,195,0.0
574,195.205,0.0
575,196.012,0.0
576,197.122,0.0
577,197.3632,0.0
578,197.552,0.0
579,198,0.0
580,198.21,0.0
582,199.5,0.0
583,199.5,1.0
586,200.82,0.0
587,201,0.0
588,201,1.0
589,202.27,0.0
590,202.7,0.0
591,205,0.0
592,209,0.0
593,209.01,0.0
594,210.125,0.0
596,211,0.0
598,212,1.0
599,212,1.0
600,213,0.0
601,213.111,0.0
603,214,0.0
604,220.03,0.0
606,221,1.0
607,222.11,0.0
608,224,0.0
609,225,0.0
611,225,1.0
612,226.76,0.0
614,231,1.0
615,232,0.0
616,232,1.0
617,234.3,0.0
618,236,0.0
619,236,1.0
620,236,1.0
621,237.3,0.0
622,238,0.0
624,240.007,0.0
625,240.26,0.0
626,242,0.0
627,243.07,0.0
628,243.4,0.0
629,244,0.0
630,245,0.0
631,251.051,0.0
632,253,0.0
633,255,0.0
635,257.625,0.0
636,257.625,1.0
638,261,1.0
640,271.9051,0.0
641,273,0.0
642,274,0.0
643,278,0.0
644,278,1.0
645,286.011,0.0
646,287.02,0.0
647,287.041,0.0
648,288.4,0.0
649,290,0.0
651,290.11,0.0
652,292,0.0
653,301,0.0
654,301.01,0.0
655,301.046,0.0
657,301.6434,0.0
658,302,0.0
659,302.309,0.0
660,302.574,0.0
661,303.39,0.0
662,305,0.0
663,307.4,0.0
664,310,0.0
667,313.04,0.0
668,316,0.0
669,316.072,0.0
671,316.122,1.0
672,316.126,0.0
673,316.13,0.0
674,316.301,0.0
675,316.401,0.0
676,319.61,0.0
677,321,0.0
678,321.38,0.0
679,322.212,0.0
680,324.01,1.0
681,324.021,0.0
682,326,0.0
684,333.01,0.0
688,342,0.0
689,342,1.0
690,342.73,0.0
691,343,0.0
692,345.39,0.0
694,350,0.0
695,350,1.0
697,351,1.0
698,352,0.0
699,353,0.0
700,356.21,0.0
701,359,0.0
702,359,1.0
703,360.297,0.0
704,361,0.0
706,361,1.0
707,361.5,0.0
709,362,0.0
711,363,0.0
712,363,1.0
713,365,0.0
717,368,1.0
718,375.1007,0.0
719,376.1218,0.0
721,377,0.0
724,377.6,0.0
725,379,0.0
726,379.321,0.0
727,379.882,0.0
728,382.08,0.0
730,383.016,0.0
731,387,0.0
732,393.146,0.0
733,393.32,0.0
734,395,0.0
735,395.5,0.0
736,400.506,0.0
737,401,0.0
738,401,0.0
739,401,0.0
740,401,0.0
741,401.03,0.0
743,402,0.0
744,403,0.0
745,403,0.0
746,403,1.0
747,403.04,0.0
749,403.27,0.0
750,404,0.0
751,404,0.0
752,404.1527,0.0
753,404.97,0.0
755,406,0.0
757,407,0.0
758,407,1.0
759,408,0.0
760,408,0.0
761,409.9,0.0
762,411.31,0.0
763,412,0.0
764,412,1.0
765,412,1.0
766,412,1.0
767,413,0.0
768,414,0.0
769,414.295,0.0
770,415,0.0
771,415.1111,0.0
772,424,0.0
773,424.15,0.0
775,425.16,0.0
777,429.12,0.0
778,430.1,0.0
779,430.41,0.0
781,432.102,0.0
784,440,0.0
785,440.192,0.0
788,440.39,0.0
790,440.892,0.0
791,447.532,0.0
793,448.102,0.0
794,452.31,0.0
796,452.377,0.0
797,455,0.0
798,456.073,0.0
799,457,0.0
802,465,0.0
803,470,0.0
805,473.097,0.0
806,475,0.0
807,475.255,0.0
808,481,0.0
809,483,0.0
810,483.15,0.0
811,484,0.0
812,484.02,0.0
813,487,0.0
814,487,1.0
815,490.065,0.0
816,490.2,0.0
817,491.28,0.0
818,496,0.0
819,500,0.0
820,500,1.0
821,500,1.0
822,500.3159,0.0
823,500.3172,0.0
824,500.9,0.0
825,500.9,0.0
826,501,0.0
827,501.171,0.0
829,502,0.0
830,504,0.0
831,505.86,0.0
832,508.01,0.0
833,510.09,0.0
834,510.265,0.0
837,513,0.0
838,513.38,0.0
839,513.43,0.0
840,514,0.0
841,514.17,0.0
843,515.5,0.0
844,516.105,0.0
845,516.35,0.0
846,518.13,0.0
847,518.18,0.0
848,523,0.0
851,526,0.0
852,527,0.0
853,527.01,0.0
854,528,0.0
855,530.5,0.0
856,530.55,0.0
857,537.058,0.0
858,537.065,0.0
859,537.065,1.0
861,537.6,0.0
862,538.21,0.0
863,538.225,0.0
864,541.04,0.0
865,542.335,0.0
866,542.402,0.0
867,546.24,0.0
868,550,0.0
869,550,1.0
870,551.053,0.0
873,558.1,0.0
874,559.715,0.0
875,559.905,0.0
876,559.917,0.0
877,560.108,0.0
878,560.21,0.0
880,561.17,0.0
881,563.03,0.0
882,565.054,0.0
883,566.06,0.0
884,566.093,0.0
886,570.223,0.0
887,571.03,0.0
888,572.051,0.0
889,573.062,0.0
890,577.01,0.0
891,577.06,0.0
892,579.02,0.0
894,586,0.0
895,594,0.0
897,597.1,0.0
898,600,0.0
899,600.2591,0.0
900,600.328,0.0
901,600.5807,0.0
902,600.6023,0.0
903,602,0.0
904,603,0.0
906,605.0411,0.0
908,605.0905,0.0
909,606,0.0
910,607,0.0
911,607,1.0
912,607.1406,0.0
913,607.167,0.0
915,609,0.0
916,609.5,0.0
917,610,0.0
918,610.14,0.0
919,610.4,0.0
920,615,0.0
921,615,0.0
922,624.155,0.0
923,627.361,0.0
924,627.4091,0.0
925,627.4137,0.0
926,627.4265,0.0
927,627.427,0.0
929,627.7011,0.0
930,627.7015,0.0
931,627.744,0.0
932,633,0.0
933,633.356,0.0
934,633.5,0.0
935,637,0.0
936,643,0.0
937,646.9,0.0
938,647,0.0
939,652.15,0.0
940,655.017,0.0
942,664,0.0
943,667,0.0
944,667.5,0.0
946,667.61,0.0
947,670,0.0
948,670.208,0.0
949,671.205,0.0
950,672.316,0.0
952,673.3011,0.0
953,676.2,0.0
954,677.4,0.0
955,679.504,0.0
956,682.02,0.0
957,682.08,0.0
959,684.11,0.0
961,690.3,0.0
962,691.401,0.0
963,695.01,0.0
965,697.34,0.0
966,700.4,0.0
967,700.5501,0.0
969,701,1.0
970,701.02,0.0
971,702,0.0
972,702,1.0
973,702,1.0
974,702,1.0
975,702.015,0.0
977,704.395,0.0
978,707,0.0
979,707,0.0
980,707,1.0
982,709.116,0.0
983,709.2105,0.0
984,709.2116,0.0
985,711,0.0
986,711.008,0.0
987,713.01,0.0
988,713.06,0.0
989,713.16,0.0
990,713.346,0.0
991,713.3471,0.0
992,713.58,0.0
993,713.78,0.0
994,715,0.0
995,715.07,0.0
997,718.111,0.0
998,718.111,1.0
1000,718.1124,0.0
1001,718.113,0.0
1002,718.116,0.0
1003,718.117,0.0
1004,718.121,0.0
1005,718.1255,0.0
1006,718.203,0.0
1007,718.303,0.0
1008,719.108,0.0
1009,720.303,0.0
1010,720.3032,0.0
1011,720.3035,0.0
1013,720.30851,0.0
1014,720.317,0.0
1015,722,0.0
1016,722,1.0
1017,722.23,0.0
1018,722.23,0.0
1019,726.105,0.0
1020,731.14,0.0
1021,731.15,0.0
1022,731.302,0.0
1023,731.51,0.0
1024,732.108,0.0
1025,732.401,0.0
1026,733,0.0
1028,733.301,0.0
1032,733.704,0.0
1034,735.051,0.0
1035,736.0303,0.0
1037,736.1001,0.0
1039,739.104,0.0
1040,742.045,0.0
1041,743.01,0.0
1042,743.015,0.0
1044,744.301,0.0
1045,744.3215,0.0
1046,744.334,0.0
1047,744.444,0.0
1048,750,0.0
1050,751,0.0
1051,752.406,0.0
1052,754,0.0
1054,760,0.0
1055,760,1.0
1056,762.11,0.0
1057,766.102,0.0
1059,767.225,0.0
1060,767.43,0.0
1061,768.0415,0.0
1062,768.0755,0.0
1064,768.23,0.0
1068,768.36,0.0
1069,768.73,0.0
1070,768.76,0.0
1071,768.81,0.0
1072,771,0.0
1074,775.082,0.0
1076,775.087,0.0
1078,776.012,0.0
1079,776.032,0.0
1081,777.22,0.0
1082,778.21,0.0
1083,784.045,0.0
1084,784.048,0.0
1085,784.048,1.0
1086,784.0485,0.0
1087,785.11,0.0
1088,786.0755,0.0
1089,790.08,0.0
1090,791.041,0.0
1091,791.041,1.0
1092,791.12,0.0
1093,799,0.0
1094,800,0.0
1095,800,1.0
1096,800.01,0.0
1097,801,0.0
1098,801,1.0
1099,803.05,0.0
1100,804,0.0
1101,804,1.0
1104,806.02,0.0
1105,806.13,0.0
1106,807.02,0.0
1109,810.09,0.0
1111,815.045,0.0
1112,817.03,0.0
1113,817.234,0.0
1115,817.61,0.0
1116,820.2,0.0
1117,821,0.0
1118,824.103,0.0
1119,827.03,0.0
1120,827.04,0.0
1123,830.31,0.0
1125,838.21,0.0
1126,843,0.0
1129,849,0.0
1130,850,0.0
1131,851.91,0.0
1132,853.03,0.0
1133,856,0.0
1134,856,1.0
1135,856.015,0.0
1136,856.022,0.0
1137,859,0.0
1138,859,1.0
1139,872,0.0
1140,872.21,0.0
1141,893.0356,0.0
1142,893.105,0.0
1143,893.13,0.0
1144,893.51,0.0
1145,893.54,0.0
1146,897,0.0
1147,897,1.0
1148,898,0.0
1149,901,0.0
1150,901,1.0
1151,904.01,0.0
1152,904.03,0.0
1153,904.04,1.0
1155,907,0.0
1157,911,0.0
1158,911,1.0
1159,911,1.0
1162,911,1.0
1163,911,1.0
1164,911,1.0
1165,911,1.0
1166,911,1.0
1167,911,1.0
1168,911,1.0
1171,919.7,0.0
1172,921.0026,0.0
1173,924.06,0.0
1174,924.07,0.0
1175,925,0.0
1177,934.03,0.0
1178,934.03,1.0
1179,934.215,0.0
1180,941,0.0
1181,941.03,0.0
1182,948,0.0
1183,948.06,0.0
1184,954,0.0
1185,955.11,0.0
1186,965,0.0
1187,966,0.0
1188,985.215,0.0
1189,989,0.0
1190,991.2166,0.0
1192,995,1.0
1193,998,0.0
1195,1002,0.0
1196,1005,0.0
1197,1006,0.0
1198,1007,0.0
1199,1008,0.0
1200,1009.21,0.0
1201,1012.81,0.0
1203,1019,1.0
1204,1021,0.0
1205,1024.38,0.0
1207,1026,0.0
1208,1028,0.0
1211,1031,1.0
1212,1031,1.0
1214,1031,1.0
1215,1032,0.0
1216,1035.2,0.0
1217,1035.3,0.0
1218,1043,0.0
1220,1050,0.0
1221,1054,0.0
1222,1060,0.0
1223,1062,0.0
1224,1085,0.0
1225,1090,0.0
1227,1094.5,0.0
1228,1099,0.0
1229,1099,1.0
1230,1100,0.0
1231,1101,0.0
1232,1108,0.0
1233,1110,0.0
1234,1111,0.0
1235,1111.02,0.0
1236,1112,0.0
1238,1127,1.0
1239,1129,0.0
1240,1140,0.0
1241,1145,0.0
1242,1161,0.0
1243,1170.1,0.0
1244,1170.12,0.0
1246,1202.4,0.0
1247,1203.2,0.0
1248,1203.3,0.0
1249,1219,0.0
1250,1231,0.0
1251,1240,0.0
1252,1250,0.0
1253,1278.5,0.0
1254,1285,0.0
1255,1288,0.0
1256,1300.71,0.0
1257,1301.13,0.0
1258,1302.31,0.0
1260,1309.625,0.0
1263,1321.51,0.0
1264,1322,0.0
1265,1322.01,0.0
1266,1328,0.0
1267,1332,0.0
1268,1337.32,0.0
1271,1361,0.0
1272,1382,0.0
1274,1391,0.0
1275,1401,0.0
1276,1402,0.0
1277,1402.04,0.0
1278,1404,0.0
1279,1404,0.0
1280,1404,1.0
1281,1404,1.0
1282,1404,1.0
1283,1406,0.0
1284,1446,0.0
1286,1484,0.0
1288,1522,0.0
1289,1538.5,0.0
1290,1538.5,1.0
1291,1538.5,1.0
1293,1569.269,0.0
1294,1601,0.0
1295,1605,0.0
1298,1624,1.0
1300,1637,0.0
1301,1651,0.0
1302,1670,0.0
1303,1705.04,0.0
1304,1707.043,0.0
1305,1708,0.0
1306,1708.5,0.0
1307,1711,0.0
1309,1714.9,0.0
1310,1716.2,0.0
1315,1785,0.0
1316,1798.1,0.0
1318,1800,0.0
1320,1830,0.0
1321,1837,0.0
1322,1856,0.0
1323,1861.05,0.0
1325,1907.2,0.0
1327,1910.38,0.0
1328,1910.95,0.0
1329,1925.02,0.0
1330,1946.7,0.0
1331,1985.3,0.0
1332,1987.1,0.0
1335,2019.21,0.0
1336,2020.22,0.0
1337,2023.03,0.0
1338,2025.21,0.0
1339,2025.22,0.0
1340,2025.23,0.0
1343,2025.34,0.0
1344,2025.41,0.0
1345,2025.42,0.0
1346,2025.48,0.0
1347,2025.54,0.0
1348,2025.61,0.0
1349,2027.01,0.0
1351,2030.23,0.0
1352,2030.29,0.0
1354,2031.24,0.0
1356,2031.28,0.0
1357,2031.3,0.0
1358,2031.31,0.0
1359,2033.22,0.0
1360,2033.29,0.0
1363,2105,0.0
1365,2111.14,0.0
1366,2111.5,0.0
1370,2151.421,0.0
1371,2168,0.0
1372,2169,0.0
1373,2202,0.0
1374,2203,0.0
1375,2207,0.0
1376,2214,0.0
1377,2220.7,0.0
1378,2232.56,0.0
1379,2255,0.0
1380,2255,0.0
1381,2255,1.0
1382,2255,1.0
1384,2255,1.0
1386,2255,1.0
1389,2255,1.0
1390,2305,0.0
1391,2305.19,0.0
1392,2305.321,0.0
1393,2311.04,1.0
1394,2315.18,0.0
1396,2319.09,0.0
1398,2329.07,0.0
1399,2329.66,0.0
1402,2356,0.0
1403,2367,0.0
1405,2632.19,0.0
1406,2641,0.0
1407,2695.5,0.0
1408,2698.39,0.0
1410,2701.03,0.0
1411,2701.1,0.0
1412,2705.031,0.0
1413,2721.03,0.0
1414,2721.05,0.0
1416,2741.02,0.0
1418,2744,0.0
1419,2744.02,0.0
1420,2744.11,0.0
1421,2810.3,0.0
1422,2810.3,0.0
1426,2905.03,0.0
1427,2907.05,0.0
1428,2911.01,0.0
1429,2913.02,0.0
1431,2919.21,0.0
1432,2919.25,0.0
1433,2921.331,0.0
1434,2921.38,0.0
1435,2921.38,0.0
1437,2921.42,0.0
1438,2923.13,0.0
1439,2923.161,0.0
1440,2923.162,0.0
1441,2924.12,0.0
1442,2925.11,0.0
1443,2925.11,0.0
1444,2925.14,0.0
1445,2929.14,0.0
1446,2929.15,0.0
1447,2929.19,0.0
1448,2929.28,0.0
1449,2929.28,1.0
1450,2932.5,0.0
1451,2937.35,0.0
1452,2938,0.0
1453,2943.031,0.0
1454,2945.71,0.0
1455,2969.25,0.0
1456,2971.11,0.0
1457,2981.12,0.0
1458,2984.4,0.0
1459,3002.1,0.0
1460,3002.1,0.0
1461,3042,0.0
1462,3068.1,0.0
1463,3101,0.0
1464,3101,0.0
1465,3103,0.0
1466,3105.171,0.0
1467,3106.3,0.0
1468,3108,0.0
1469,3111.14,0.0
1471,3113.31,0.0
1473,3119.962,0.0
1474,3126,0.0
1476,3129.1,0.0
1477,3189.2014,0.0
1478,3211,0.0
1481,3212,0.0
1482,3213,0.0
1483,3215,0.0
1486,3290,0.0
1487,3313,0.0
1488,3313.013,0.0
1489,3314,0.0
1490,3327.16,0.0
1491,3333.4,0.0
1492,3343,0.0
1493,3351,0.0
1495,3402,0.0
1496,3420,0.0
1498,3501.38,0.0
1499,3508,0.0
1500,3546,0.0
1501,3702,0.0
1502,3705.02,0.0
1503,3709.99,0.0
1504,3712,0.0
1505,3712,1.0
1506,3858,0.0
1507,3901.21,0.0
1508,3901.388,0.0
1509,3901.48,0.0
1510,3905.15,0.0
1511,3923.25,0.0
1512,3923.82,0.0
1514,4000,0.0
1515,4000,1.0
1516,4009,0.0
1517,4009.21,0.0
1518,4061.5,0.0
1519,4112,0.0
1520,4112.02,0.0
1521,4121,0.0
1523,4123.9,0.0
1525,4123.931,0.0
1526,4141,0.0
1527,4228,0.0
1528,4303.181,0.0
1529,4318,0.0
1530,4323,0.0
1531,4458,0.0
1534,4511.19,0.0
1535,4511.2,0.0
1536,4511.75,0.0
1537,4513.263,0.0
1538,4517.52,0.0
1539,4517.55,0.0
1540,4518,0.0
1541,4553,0.0
1542,4614,0.0
1543,4615,0.0
1544,4615,0.0
1545,4650,0.0
1546,4660.1,0.0
1547,4714,0.0
1548,4717.3,0.0
1550,4753,0.0
1551,4781.4,0.0
1552,4850,0.0
1553,4850,1.0
1555,4905,0.0
1556,4935,0.0
1558,5015,0.0
1559,5015,1.0
1560,5102,0.0
1562,5106,0.0
1563,5126.023,0.0
1564,5150,0.0
1565,5201,0.0
1566,5210,0.0
1567,5239,0.0
1568,5276,0.0
1569,5302.222,0.0
1570,5321.07,0.0
1571,5402,0.0
1572,5406,0.0
1573,5543.22,0.0
1574,5577,0.0
1576,5705.45,0.0
1577,5709.83,0.0
1578,5717.04,0.0
1580,5723.13,0.0
1582,6000,0.0
1584,6033,0.0
1586,6068,0.0
1587,6090.5,0.0
1588,6101.05,0.0
1591,6161,0.0
1592,6425,0.0
1593,6673,0.0
1594,6702,0.0
1595,7031,0.0
1596,7509,0.0
1597,7590.1,0.0
1598,7612,0.0
1599,7874,0.0
1600,8003,0.0
1601,8403,0.0
1603,8543,0.0
1604,9011,0.0
1605,9019,0.0
1606,9767.5,0.0
1609,10000,0.0
1610,10123.87,0.0
1611,10133.36,0.0
1612,10133.66,0.0
1613,10342,0.0
1614,10492,0.0
1615,10552,0.0
1616,10562,0.0
1617,10629,0.0
1619,10855,0.0
1621,11040,0.0
1622,11135,0.0
1623,1930-09-11,1.0
1625,11350,0.0
1626,11359,0.0
1627,11366,0.0
1629,11580.2,0.0
1630,11760.1,0.0
1633,12022.7,0.0
1634,12022.7,1.0
1635,12117,0.0
1637,12222,0.0
1639,1934-09-11,1.0
1640,1935-09-11,1.0
1641,13094,0.0
1642,1936-10-01,1.0
1644,14601.1,0.0
1645,1941-09-11,1.0
1646,15610.7,0.0
1647,16602.5,0.0
1648,1945-09-11,1.0
1650,17500,0.0
1651,17537.2,0.0
1652,18419,0.0
1653,18722,0.0
1655,1952-01-01,1.0
1656,19050.8,0.0
1657,19704,0.0
1660,1956-09-11,1.0
1661,21460.5,0.0
1662,22107,0.0
1663,22770,0.0
1665,23152,0.0
1666,23152,1.0
1668,23612,0.0
1669,23904,0.0
1670,25017,0.0
1671,1968-09-11,1.0
1672,25110,0.0
1673,25137,0.0
1675,25662,0.0
1676,25662,1.0
1678,25850,0.0
1679,30800,0.0
1680,32402,0.0
1683,2001-09-30,1.0
1684,2002-10-12,1.0
1685,2004-09-25,1.0
1686,2005-09-11,1.0
1687,2006-09-11,1.0
1688,2006-12-07,1.0
1690,2008-09-11,1.0
1691,2009-09-11,1.0
1692,2011-09-16,1.0
1693,2012-06-29,1.0
1694,2012-09-11,1.0
1696,2014-09-11,1.0
1697,2014-09-15,1.0
1698,2015-11-07,1.0
1699,2016-09-11,1.0
1701,2018-04-08,1.0
1702,2018-04-22,1.0
1703,2018-07-18,1.0
1704,43315.3340278,0.0
1705,2018-11-02,1.0
1706,43408.7923611,0.0
1707,43422.2152778,0.0
1708,2018-11-25,1.0
1709,43526.3340278,0.0
1710,43540.3340278,0.0
1713,2021-09-11,1.0
1714,2022-06-08,1.0
1715,45113,0.0
1716,2025-02-05,1.0
1717,2029-01-10,1.0
1718,54957.1,0.0
1720,57797,0.0
1721,58011,0.0
1722,60000,0.0
1723,68096.1,0.0
1725,70501,0.0
1726,72446,0.0
1727,2101-11-01,1.0
1728,76819,0.0
1730,87104,0.0
1731,90058,0.0
1732,91568,0.0
1734,93601,0.0
1735,98941,0.0
1737,105159,0.0
1739,140513,0.0
1740,148581,0.0
1741,154476,0.0
1742,3013-12-01,1.0
1743,1585023,0.0
1744,1923797,0.0
1745,1932717,0.0
1747,1970573,0.0
1748,3314335,0.0
1749,4227374,0.0
1750,5611418,0.0
1751,5960015,0.0
1752,8638016,0.0
1753,9240003,0.0
1755,9540004,0.0
1756,77508435,0.0
1757,91234801,0.0
