query,y_n
danger to community bail reform act 924(c),1.0
212,1.0
702,1.0
"""§ 1030""",0.0
"""rule 1.442""",0.0
"""section 8""",
37(c)(1),
Prob. Code,1.0
R.C.M. 703(f)(2),0.0
162,1.0
627.4137,0.0
1127,1.0
"""26(g)""",
"""prop 65""",0.0
56(f),
FDCPA 802 class action,1.0
404,1.0
501,1.0
1910.142,1.0
"""chapter 7""",1.0
"""Rule 11""",
13-90-102,0.0
39-14-121,0.0
41-29-139,0.0
1.19,1.0
31.7,1.0
1125,1.0
"""26(b)(2)(C)""",
"""2805-b""",1.0
"""3-717""",0.0
"""Civ. R. 60(B)(5)""",0.0
134 S. Ct. 761-62.,1.0
18.2-308.2,
RPAPL 1304,0.0
Rule 12,
44.302,1.0
701,1.0
893.13,1.0
2984.4,0.0
"""44-7-14""",
"""Rule 50""",
"§ 67 DETRIMENTAL RELIANCE%2014""PROMISSORY ESTOPPEL""",0.0
15 usc 1114,1.0
33(a)(4),
40-6-391,1.0
family code 3557,1.0
rpapl 741,0.0
95.11,1.0
200.82,1.0
316.401,1.0
718.111,1.0
87100,1.0
"""Rule 24""",
10b5,0.0
19.2-266.2,1.0
404b,1.0
Article 78,1.0
irs 706 form,1.0
rule 16,
Text messages discoverable 3101,1.0
1.37,1.0
153,1.0
412,1.0
713,1.0
768.28,0.0
1104,1.0
"""1637""",1.0
"""4:42-9(b)""",0.0
"""503(b)(3)(D)""",1.0
"""measure 37""",1.0
101.103 Motion for Summary Judgment by Defendant,1.0
10-k,
18.2-248,1.0
8(a),0.0
A201-2007,0.0
Penal code section 739 and dismissal by preliminary hearing judge and charge again filed in the information by the prosecution,0.0
section 1983,
ucc article 9,1.0
united states v. cook Mar. 7,
101,1.0
502,1.0
718,1.0
741.3,1.0
"""1292(a)(2)""",1.0
12(b)(5),
404(b),1.0
44112(b),1.0
a witness cannot testify to what someone else was thinking rule 602,
Ariz. v. Youngblood,1.0
ORS § 20.075,1.0
90,
261,1.0
1484,1.0
5701.02,0.0
"""440.13(2)(f)""",1.0
"""rule 42""",
"""rule 50(a)""",
1 Moore's Federal Practice - Civil Moore%2019s Federal Practice,1.0
14-10-129,0.0
8 CFR 103.5,1.0
alice 101,1.0
criminal rule 16,1.0
penal code 148,1.0
R.S. 14:102.1 ANIMAL CRUELTY,1.0
"Rule 402 service of process front door""",
rule 60,
26,
28.1,1.0
131,1.0
180,1.0
624.155,0.0
941.03,0.0
2027.01,0.0
"""crim.r. 44(a)""",0.0
"""rule 4""",
2009 NY Slip Op 33037(U),1.0
23(b)(2),
768.28 !,0.0
ccp 1161,
Iqbal,1.0
Rule 11,
Rule 33,
Rule 33(a)(1) interrogatories limit,1.0
3.131,1.0
170.1,1.0
608,1.0
965,1.0
1473.7,0.0
3122,1.0
3217,1.0
"""37(a)(5)(C)""",
"""Rule 65""",
12(B)(6),
12(f),
19.2-226,1.0
39-17-417,0.0
5402(c),1.0
ccp 2025.230,
CCP 664.6,
Health and Safety Code § 25363,1.0
rejection of 11(c)(1)(C) agreement abuse of discretion Fifth Circuit,1.0
rule 1.7,
Rule 4,
9.22,1.0
11.07,1.0
38.1,1.0
56.1,1.0
721,1.0
2802,1.0
"""37(b)""",
"""Chapter 11""",1.0
§ 24-8-804. Hearsay rule exceptions; declarant unavailable,0.0
15.2-915,
17-P-1005,1.0
2-207,0.0
26(a)(2)(b),
401K,0.0
52-136,1.0
632.895 (5m),0.0
76-274,0.0
9(b),0.0
Investment Company Act Release No. 17091,1.0
rpapl 745,0.0
rule 12,
rule 5:17,
rule 52(c),
THE REHABILITATION ACT OF 1973,
Uniform Trust Code § 1010,1.0
7.135,1.0
42,
61.075,
90.804,1.0
198,1.0
490.065,0.0
558,1.0
1027,1.0
1651,1.0
3343,1.0
"""§ 101""",0.0
"""C-570-913""",0.0
"""cplr 3120""",0.0
"""declaratory judgment"" ""tort"" ""duty"" ""2315""",1.0
"""Fed. R. Evid. 201""",0.0
12-30523,0.0
13-5,1.0
191(1),1.0
29 U.S.C. § 1056(d)(3)(H) QDRO,
30(b)(6) deposition,1.0
34-23-1-2,1.0
38-8-105,1.0
3rd party beneficiary,
42 USC 1981 discrimination,
chapter 13,1.0
chapter 86,1.0
due process privacy fourteenth 14th amendment,1.0
form n-2,1.0
FORM(10-K),1.0
Ley N%fam. 81 de 1991 Ley de Municipios Aut%f3nomos del Gobierno de Puerto Rico,0.0
penal code 830.1,1.0
public act 89-203,1.0
Rule 34 permission inspect test,
rule 41,
rule 702,
United States v Hodge ( Third Cricuit 2000),
USCS Federal Rules of Evidence 407,1.0
23:49.1,0.0
61.14,1.0
90.803,1.0
124.34,
911,1.0
966,1.0
1278.5,1.0
3709.99,0.0
8543,1.0
"""18 U.S.C. 2721""",1.0
"""259-c(14)""",
"""365(p)(1)""",1.0
"""37(D)""",
"""cplr article 50""",0.0
"""joinder"" ""9-11-13(h)"" ""FDCPA"" ""separate""",1.0
"""Rule 23""",
13-6-11,1.0
13th,1.0
16-10-24,1.0
18.2-23,
20-109,1.0
2018 NY Slip Op 31940(U),1.0
35-38-1-17,0.0
5:5-4,0.0
572n,0.0
801(d)(2)(D),1.0
atl2(duggan),0.0
California Code of Regulations Section 51503,1.0
ccp 877,
Civil Code 3342,1.0
Labor Code 226,1.0
mandamus uscis i-360 special immigrant juvenile,1.0
motion to reopen i-130 denial,1.0
rule 107 misspelled defendant,
stalking 4th ny,1.0
Waiver 41A,1.0
WCL Section 29,1.0
1.5,1.0
46.02,1.0
56,
148.6,1.0
1094.5,
1404,1.0
1714.45,0.0
2025.28,0.0
6425,1.0
"""1983""",1.0
"""404(b)""",1.0
"""60-456""",1.0
"""article 62""",1.0
"""chapter 13""",1.0
13-907,1.0
1-52(16),1.0
16-13-2,1.0
19-6-15,1.0
38.2-2206,0.0
431(b),1.0
59(e),
911 call,1.0
Anti-SLAPP,
bmv 2255,0.0
C7 fracture,
family code section 2108,1.0
penal 10,1.0
statutory disqualification fdic order bar 15(b)(4)(H),1.0
59,
244,1.0
361,1.0
609,1.0
713.58,0.0
768.81,0.0
948.06,1.0
1002,1.0
1328,1.0
2919.25,0.0
25137,1.0
"""1030""",1.0
"""2921.38""",0.0
"""80 Stat. 220""",1.0
"""Chapter 95""",1.0
"""or the like"" 112b indefinite",
12(b)(2),
15.2-940,
18.2-186.3,
18.2-308,1.0
18.2-51,
19.2-82.1,1.0
2 Mechem,1.0
24-9-901,1.0
25-324 (B),
55-10-401,0.0
AAA Matter No. 73 160 00332 11,1.0
AL700,0.0
CCP 1542,
ccp 425.16,
fam code 2040,1.0
labor code 1102.5,1.0
N.C. Gen. Stat. § 58-63-15(11)(f),
"ny 5015 ""child support""",1.0
rule 4,
rule 4:1,
rule 60(b),
rule 804,
substantial change circumstances,1.0
title 9,
128.5,1.0
559.905,0.0
998,1.0
1048,1.0
1798.93,1.0
2033.22,0.0
5276,1.0
11350,1.0
"""12(a)(4)(a)""",
"""1404""",1.0
"""3.353""",1.0
"""42 U.S.C. § 1983""",1.0
"""470.25(2)(d)""",1.0
"""American Jurisprudence 2d (AMJUR)""",0.0
"""cplr 3116""",0.0
"""lewd and lascivious"" ""florida statute 800.02""",1.0
"""rule 20""",
"""section 301""",
"%25""spencer bachus""",0.0
§84.007,1.0
1.442(c)(4),0.0
1123(a)(5)(d),1.0
16-13-240,0.0
16-4-8,1.0
18.2-10,1.0
2255 + sentencing guidelines + challenge,1.0
26.2601-1(b)(1)(iv) inclusion ratio qualified severance,1.0
3211(a)(7),1.0
35-3-37,1.0
36-6-108,
39-16-201,0.0
46.2-301,1.0
501(c)(3),1.0
60(b),
965(g),1.0
97-48,1.0
ca Code Civ. Proc.,1.0
ccp 430.41,
ccp 998,
cplr 327 interest of justice,1.0
education law 3020-a,1.0
family code 721,1.0
FELA; slip and fall; notice; negligence,1.0
KRE 403 exclusions,
labor code 3600,1.0
law360,
nevada rule of civil procedure 45,1.0
penal code 1000,1.0
pub utilities code 24300,
References to: O.C.G.A. § 9-11-38,
rule 403,
rule 54,
Rule 60(b)(6),
8.104,1.0
41.1395,0.0
52.1,1.0
90.502,1.0
301.91,1.0
307.4,1.0
1028,1.0
1099,1.0
1108,1.0
3215,1.0
4660.1,0.0
18702.2,0.0
"""137 F.2d 632""",0.0
"""199926030""",0.0
"""26(a)(2)""",
"""3212(f)""",1.0
"""405(b)""",1.0
"""50%25""",
"""income tax"" resident 183",1.0
"""issue 2""",1.0
"""rule 12(f)""",
"""Rule 30(b)(6)""",
"""Section 5""",
1104(a),1.0
1123(A)(5),1.0
12(g),
120 ALR 557,1.0
18 ussc 2252A,
"18.2-248 ""eight ball"" reversed",1.0
2.2-3705.6,0.0
2C:24-4,0.0
3.104(a),1.0
341(h)(7),1.0
40-2-140,
456-7,1.0
55-79.43,0.0
58.1-3984,0.0
5G,1.0
aggressor 16.04,0.0
article 16,1.0
Brann v. Williams,1.0
ccp 2017.010,
class 4 severity F hip injury sedentary work capacity,1.0
"debtor moved reconsider ""confirmation order"" ""3008""",1.0
DRL 240,0.0
federal rules of civil procedure 12,
federal rules of civil procedure 26,
general municipal law 207-c,
labor code 5500.5,1.0
M.R.E. 412(b)(1),0.0
MRE 201 Judicial Notice,1.0
objection 1.360 cumulative,1.0
reasoning level 2,
rule 56,
Rule 56. Summary judgment,
Rule 60(b)(5) motion granted,1.0
Section 1557,
1.14,1.0
1.31,1.0
1.351,1.0
12,
12.42,1.0
49.325,0.0
69.081,0.0
83.57,0.0
145,1.0
232,1.0
245,1.0
440.205,0.0
542.335,0.0
718.303,1.0
743.015,0.0
1060,1.0
1302.31,1.0
1332,1.0
1538.5,0.0
2031.28,0.0
3103,1.0
4123.931,0.0
120161760,0.0
200103034,0.0
"""152.211"" and",1.0
"""28 U.S.C. §292(d)""",0.0
"""2925.11""",0.0
"""3101""",1.0
"""316.1945(1)(a)""",0.0
"""37.9*""",
"""4:10-3""",0.0
"""43 P.S. § 954(c)""",
"""5.1""",1.0
"""580d""",
"""R.C. 2315.19""",0.0
"""rule 3.7""",0.0
"""rule 406""",
"""Tex. R. Civ. P. 193.3(b)""",0.0
§ 125.121 Stipulation by Counsel [Code Civ. Proc. § 283(1)] to Consolidation of Actions [Code Civ. Proc. § 1048(a)],0.0
15(a),
1601.12 Contents of charge; amendment of charge.,1.0
16-15-4,1.0
1692g,0.0
17-P-1425,1.0
18.2-137,
19.2-187.1,1.0
1923.04 conspicuous,0.0
23(f),
24-4-48,
24-9-902,1.0
271(a) method drug label,1.0
36(a),
362(c),1.0
39-17-418,0.0
40-6-241,
42 usc 1983,1.0
4TH amendment waiver parolees,
5(b)(2)(D),0.0
5015(a)(5),1.0
56(h),
702 expert excluded review relevant materials discovery,1.0
8.01-277,0.0
9:6-1 abuse child unnecessary pain and suffering,1.0
ada 504 school district juvenile court,1.0
Cal Civ Code § 2924.12 material violation,1.0
ccp 128.5,
ccp 2030.010,
ccp 2031.010,
CCP 425.15,
chapter 13 eligibility 109 under secured debt,1.0
CR 76.36,1.0
Fed. R. Crim. P. 15 defines a party as,1.0
Fla. stat. 768.0755 mode of operation,1.0
labor code 226,1.0
liberal standard rule 15(c),1.0
literal* fals* lanham act 43(a),
local rule 16-3,1.0
magner chapter 11 interim fee application,1.0
MCL 691.1404 and witness,0.0
motion to consolidate rule 42,1.0
Motion to dismiss 12(b)(5),1.0
njre 803c(6),0.0
penal code 1170.91,1.0
people v harris ad2d 887,1.0
pl 263.11,
relief from stay chapter 13 grounds lack of confirmable plan,1.0
rule 15,
Rule 45,
Rules of Court 3.1324,1.0
S234969,0.0
SB-766,0.0
Section 3902,
SHERMAN ACT o Section 1 violation has three elements: (1) an agreement; (2) which unreasonably restrains competition; and (3) which affects interstate commerce.,0.0
So,
Texas Rule of Civil Procedure 93,1.0
uim exhaust multiple claimants 38a-336(b),0.0
1.35,1.0
15.01,1.0
15.4,1.0
42,
90.403,1.0
169,1.0
408,1.0
523,1.0
603,1.0
817.234,0.0
1094.6,0.0
2025.23,0.0
2744,1.0
4615,1.0
5101,1.0
6103,1.0
10,1.0
120141988,0.0
"""""316.10(b)(3(iii)",0.0
"""2953.08"" ""contrary to law"" ""community control sanctions""",1.0
"""3",1.0
"""31 U.S.C. § 1341""",1.0
"""42 U.S.C. 1983""",1.0
"""549 S.W.3d""",0.0
"""Article 78""",1.0
"""Fed. R. Crim. P. 42(a) """,0.0
"""Rule 404""",
12(e),
15.2-2285(F),0.0
16.1-260,
16-11-131,0.0
16-P-0985,0.0
16-P-1360,0.0
16-P-1525,0.0
16-P-985,
18.2-77,
1998 cr 07272 + John Smith,1.0
20-106,1.0
20-107.3,
2255 + ineffective assistance of counsel + sentencing guidelines,1.0
24-8-801,
2614(a)(2),1.0
271(g),1.0
3-310(C)(3),0.0
33-18-242,0.0
35-50-2-8,
37-11-18,0.0
39-13-527,0.0
4:26-5,0.0
42-8-111,1.0
55-243,0.0
57-2-3,1.0
761(a)(1) department of corrections,1.0
9-318(4),0.0
"atl2(""breach of contract"")",1.0
CCP 1033.5,
ccp 2033.010,
CCP 2034.210,
CCP 2034.300,
ccp 435,
CGC 05444413,1.0
Civil Code 1066,1.0
D5,1.0
Federal Rules of Evidence 803(6),
FLSA preempts Plaintiff%2019s SCPWA Motion to Dismiss,1.0
Foreign Investment Risk Review Modernization Act of 2018,1.0
MCS-90,1.0
No. 337-TA-794,
not admissible evidence under FRE 1006,
oac 5160-2-09,1.0
opposition to 12b6 motion to dismiss whistleblower,
penal code 1001.36,1.0
penal code 1192.7,1.0
penal code 1203,1.0
penal code 825,1.0
rule 34,
Rule 59,
55:40.6,0.0
23:13,0.0
1.38,1.0
1.9,1.0
2.4,1.0
3.134,1.0
12.14,1.0
50,1.0
69,
90.404,1.0
106,1.0
202.7,1.0
255,1.0
308,1.0
352,1.0
395.5,1.0
452.375,1.0
473,1.0
516.35,1.0
605.0411,0.0
610.14,1.0
690.3,0.0
709.2116,0.0
711,1.0
713.16,0.0
736.0813,0.0
1202,1.0
1321.51,1.0
2019.21,0.0
2117.06,0.0
2214,1.0
3105.171,0.0
3333.4,0.0
3712,1.0
4112,1.0
9240003,0.0
"""2111""",1.0
"""231(c)""",1.0
"""312 F.2d 418""",0.0
"""3148(2)""",1.0
"""35 u.s.c. § 145""",1.0
"""7702""",1.0
"""93.002(e)""",0.0
"""publication 1""",1.0
§ 552A Contributory Negligence,1.0
1.163(j),1.0
11th amendment immunity,1.0
128.7 sanctions,1.0
1404!,1.0
15-112,1.0
16.1-253,1.0
16-5-91,1.0
16-8-14,1.0
17-P-343,
18.2-172,1.0
18.2-268.2,
18.2-374.3,
19.2-268.2,1.0
19-9-3,1.0
22-4504,1.0
29-26-121,0.0
2B1.1,
3211(a)(1),1.0
34-11-2-1,
362(b)(22),1.0
362(k) defenses,1.0
49-13,1.0
5 101. RETENTION OF FINANCIAL INSTITUTION RECORDS,1.0
506(b),1.0
547(e)(2)(A),1.0
56.29(9),1.0
58-50-56,0.0
5th amendment,
61-2802,0.0
7.105.1,0.0
7:10-2,0.0
720.305 fees,1.0
76-5-404.1,
9-11-!,0.0
934.03 intercept contemporaneous,0.0
cal civ pro 438,1.0
CCP §1021,
ccp 1005,
ccp 1987.1,
ccp 2025.410,
CCP 426.30,
ccp 436,
civil code 1624,1.0
code of civil procedure 583.410,
consensusdocs 510,0.0
criminal rule 4,1.0
drug-free workplace act of 1988,1.0
ER 613,1.0
Fed. R. Evid. 403 unfair prejudice,1.0
Federal Rule of Evidence 411,
finra arbitration 09-00378,
FOIL-AO-9978,0.0
FRCP 26,1.0
Illinois regulation 100.3380,1.0
"IRC Section 162(a) deduction ""breach of fiduciary duty""",
Judiciary Law 487,1.0
Labor Code 3501,1.0
Labor Law 241(6),1.0
lien law 19(6),1.0
NJ 2A-14-4,1.0
number(1:15-cv-518),1.0
Permissible sex discrimination in employment based on Bona Fide Occupational Qualifications (BFOQ) under § 703(e)(1) of Title VII of Civil Rights Act of 1964 (42 U.S.C.A. § 2000e-2(e)(1)),0.0
PL 120.05(6),
R. 1:13-7,
rule 26(f),
rule 35,
Rule 60(b)(4) due process subpoena,1.0
Section 19-10-26,
Senate Bill 766,1.0
trial rule 15,1.0
VTL 1194,0.0
1.36,1.0
7.1,1.0
22,
52.07,1.0
74.04,1.0
90.503,1.0
209,1.0
316.126,0.0
316.193,1.0
363,1.0
379.321,0.0
405,1.0
733.617,0.0
744.444,0.0
768.31,0.0
768.36,1.0
856.015,0.0
904.03,1.0
1110,1.0
1322.01,0.0
1401,1.0
1545.21,0.0
1861.05,0.0
2921.41,0.0
3101,1.0
3119.962,0.0
3212,1.0
4903.8,1.0
12022.7,0.0
"""08.98.235""",0.0
"""1.163""",1.0
"""15-1009""",
"""2018""",1.0
"""21 C.F.R. § 202.1(e)(6)""",0.0
"""2810.3""",1.0
"""292.5(a)""",
"""3.104(a)""",1.0
"""414(k)""",1.0
"""4905.02(A)(2)""",0.0
"""5 C.F.R § 1201.59(c)""",0.0
"""508.010.4""",0.0
"""54:32B-8.53""",
"""A.R.S. § 13-1814""",0.0
"""class: 30"")",1.0
"""CONN. GEN. STAT. 52-193""",0.0
"""CPLR § 603"" ""declaratory""",1.0
"""End result test 72 Taxes 722""",0.0
"""export control reform act of 2018""",0.0
"""FAA 20121602F""",0.0
"""is subject to monitoring by the Trade Representative under section 306 of the Trade Act of 1974""",0.0
"""ley num. 246""",0.0
"""LR-42-73""",0.0
"""Military Lending Improvement Act of 2018""",0.0
"""N.J.A.C. 14:18-4.6""",0.0
"""N.J.S.A. 34:13A-5.4(a)5"" ""refusing to negotiate"" forgot neglected",1.0
"""proposition 64"" + license + sale",1.0
"""residency"" 183",
"""RPAPL 711""",0.0
"""Rule 1033""",0.0
"""Rule 41""",
"""Rule 45(f)""",
"""sec. 880""",0.0
"""Section 705""",
"""uniform superior court rule 6.5""",0.0
§ F17.07 Age Discrimination in Employment (Age Discrimination in Employment Act,0.0
05-1070,0.0
104-South East-103,
11 usc 324,1.0
13-21-102,1.0
1332(d),1.0
138 s.ct.,1.0
14-10-115,0.0
14-10-124,0.0
16-11-106,0.0
1692c(c),1.0
17-P-840,
18.2-371.1,
19.2-81.3,1.0
2.116(C)(8),1.0
2016 Pa. Dist. & Cnty. Dec. LEXIS 1201,1.0
"2255 + vague + ""crime of violence"" + sentencing guidelines",1.0
2255 ineffective assistance witness reversed,1.0
23.51 CHECKLIST: Making and Opposing Motions in Limine.,0.0
24-8-803,
26(b)(4),
30(b),
33.2-1200,0.0
3380(d),1.0
35 U.S.C. § 156,1.0
35-34-1-5,
397.6955 Duties of court upon filing of petition for involuntary services.%2014,0.0
4:14-1,0.0
40-32-101,0.0
40-5-20,
42 Cal. 3d 490 feha hoa,
42 USC 1985(2) conspiracy,
46.2-817,1.0
46:15-10,0.0
50 state survey,1.0
52.08(a)(3),1.0
52-572n,
5500.5 apportionment,0.0
6-29-1145,0.0
659a,
66-7-109,
717B.4,
72-1-1,1.0
9-11-9.1,0.0
924(c),1.0
97-88,1.0
Article 134 kidnapping,1.0
atl3(lodestar),0.0
atl3(moot),0.0
c.c.p. 877.5,
california assembly bill 950,1.0
ccp 1985,
ccp 2025.220,
ccp 2025.250,
ccp 337,
ccp 437,
Civil Code section 2079,1.0
civil service law 26.1,1.0
civil service law section 75,1.0
co conspirator 4.2 communication separate matter,
code of civil procedure 1005,
code of civil procedure 1008,
cplr 1024,1.0
cplr 4519 cannot affirmatively seek dismissal,1.0
CR 45,1.0
Docket No. M-00960890,1.0
"Elements 43(a) Lanham Act ""false description""",1.0
family code 3011,1.0
gml 50(E),1.0
Gooding%2019s Supermarket,
I-751,1.0
Indiana child support guideline 4,1.0
L.R. 8001,1.0
labor code 203,1.0
Labor Code 5402,1.0
labor law 193,1.0
LR2-308,0.0
mass g.l. c. 272 section 77,1.0
motion for early trial criminal rule 4,1.0
"N.Y. Penal Law sec. 130.52 ""intimate parts"" ""kissing""",
Nestle USA,1.0
nlj 500,0.0
No. 18-cv-1261,
NY penal code 210,
object motion to remand rule 72 magistrate district judge,
penal 120.00,1.0
penal code 1203.2,1.0
penal code 1381,1.0
penal code 290,1.0
restatement 2d tort,1.0
restatement 402 a,1.0
rule 26(a) initial disclosure form,1.0
rule 45 third party subpoena,
rule 5(a)(1)(C),
rule 54(b) annotated,
rule 59 motion for new trial clear weight of the evidence,
Rule 60(b),
scope rule 4.11,1.0
Stay of trial court on 306 appeal,1.0
tea chapter 21 non-renewal contract year,1.0
USERRA 8th,1.0
virginia code of professional responsibility DR 7-102,1.0
VTL 511,0.0
1.42,1.0
4.2,1.0
8.3,1.0
32,
74.351,1.0
77.07,1.0
83.51,
90.61,1.0
150,1.0
530.5,1.0
637,1.0
715.07,0.0
718.112,1.0
726.105,1.0
768.0755,0.0
817.52,1.0
1012,1.0
1019,1.0
1054.1,1.0
1161,1.0
1248,1.0
1304,1.0
2127.2,0.0
2695.5,0.0
2744.02,0.0
2929.14,0.0
3119.961,0.0
4123.93,0.0
5201,1.0
7031,1.0
10629,
"""11-2101""",0.0
"""12(B)(7)""",
"""12(b)(7)""",
"""1604.11(e)""",1.0
"""18 usc 2251""",1.0
"""206(4)-5""",1.0
"""30(b)(6) deposition""",1.0
"""33(d)""",
"""365(a)""",1.0
"""404.0035""",0.0
"""42 u.s.c. 1983""",1.0
"""523(a)(6)""",1.0
"""60(b)""",
"""60(B)(2)""",
"""65(c)""",
"""655.059""",0.0
"""65589.5""",0.0
"""CPLR 3025""",0.0
"""cplr 3108""",0.0
"""CPLR 4518""",0.0
"""internal revenue code"" 306 redemption",1.0
"""MCS 90""",1.0
"""Proposition 65""",0.0
"""rule 23""",
"""rule 26""",
"""Rule of 78's""",0.0
"""Strike 3 Holdings""",0.0
§ 33.12 The Motion to Dismiss,0.0
1.1502-36,1.0
1003.18(a),1.0
1099-c,1.0
12.540 extrinsic fraud,1.0
14-10-113,
14-208.6,
15 u.s.c 15,1.0
15 usc 15,1.0
16-13-31,1.0
16-9-121,1.0
1702 Texas Occupations Code,1.0
17a-3,
17-P-538,0.0
18.2-248.1,1.0
18.2-479.1,
18.2-51.1,
18.2-60,
18-12-108,0.0
19.2-120,1.0
19.2-243,1.0
19.25 acres of land,1.0
2001 WL 391552,1.0
2016 WL 8787118,1.0
2017 WL 3392855,1.0
2018 Cal. Wrk. Comp. P.D. LEXIS,1.0
20-91,1.0
216-RICR-40-10-20,0.0
2-2-121,0.0
23-1.7(e)(2),1.0
26(a)(2)(C),
26(B),
2925.12(A),0.0
2K2.1(b)(6)(B),0.0
33-7-11,
362(c)(3),1.0
39-1401,0.0
3B:22-7,0.0
4.125(a),1.0
4:6-2(b),0.0
40-6-395,
42 USCS § 1983 police,
42-1-12,
4-405,0.0
473(b) mental health issues,1.0
5 usc 15,1.0
5.10 * CLEAR AND CONVINCING EVIDENCE,0.0
50-6-204(b)(2),1.0
55-248.34,0.0
56-6-125,1.0
63.2-1720.1,0.0
64.2-105,
718.113(5),0.0
8.01-670.1,0.0
9-318,0.0
937-409-6110,0.0
Atlantic Marine 134 SCt at 577,1.0
bankruptcy code section 362,1.0
BUSINESS AND PROFESSIONS CODE SECTION 6204,0.0
CCP § 437c,
CCP 1013,
CCP 2025.420,
Chapter DOC 328,1.0
Civ. R. 55(A),1.0
civil code 1668,1.0
clean are act injuncti! grant 42 usc 7401 (d),1.0
code of civil procedure 473,
cpl 330.20,1.0
DCHRA 70 years old,1.0
evidence code 1040,1.0
evidence code 1523,1.0
excessive profits by a renegotiation as defined in section 1481,1.0
fdcpa 3201,1.0
federal rule civil procedure 26(e)(1)(A),
FLSA 215(a)(3),1.0
Gov Code 810 et seq,
government code 6255,1.0
government code 835,1.0
inmate,1.0
La. Civil Service Rule 13.12,1.0
Labor code 132a,1.0
labor code 246,1.0
labor code 3351,1.0
labor code 4615,1.0
legislative bill 682,1.0
LNSDUID-ALM-AMLAWR-1202784064371,0.0
local rule 56 statement is a binding judicial admission,1.0
"MRE 514 ""victim advocate""",1.0
N.J.R. 1612 (b),
NYC Human rights law 8-107,
oac 4729-9-07,1.0
Pennsylvania large commercial risk exempt 710-2 insurance filing,1.0
PLR 8418003,1.0
probation for 39-13-527,1.0
Public Contracts Code §1104,1.0
R. 3:4A,
Regulation 79-2,1.0
rule 1.410,
Rule 17,
rule 3:8,
Rule 4:50-1,
Rule 4:6-2,
rule 402,
Rule 411,
Rule 50,
Rule 56(d),
Rule 902(10),
rule of evidence 609,
s231765,0.0
Senate Rep. No. 91-619,1.0
trial rule 26,1.0
United States v. Massiah,
Washington Trout v. Lohn,1.0
welfare and institutions code 5328,1.0
welfare and institutions code 726,1.0
Workers. Compensation Law Section 23 New York Mileage retroactive,1.0
1.11,1.0
3.85,1.0
12.02,1.0
18,
41.0115,0.0
54.1,1.0
81,
90.202,1.0
92.142,0.0
121,1.0
138,1.0
166,1.0
199.4,1.0
287.041,0.0
376.1218,0.0
377.3,
377.41,0.0
404.97,
484.02,0.0
500,1.0
551.054,0.0
553,1.0
627.7015,0.0
751,1.0
859,1.0
934.03,0.0
1006,1.0
1024.38,1.0
1446,1.0
1985.3,0.0
2925.11,0.0
2981.12,0.0
3068.1,0.0
3126,1.0
3546,1.0
4009,1.0
4061.5,0.0
4123.9,0.0
4904,1.0
17537.2,0.0
200522012,0.0
200610026,0.0
""" 15 U.S.C. § 78u-1""",1.0
"""12(f)""",
