query,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_not
1.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.21805555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.27222222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.274,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.34097222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.351,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.39652777778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.42569444444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.451,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.469,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.62986111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.63055555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1900-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.977,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.99583333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.23055555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.28680555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.312,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2.514,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.516,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.603,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.406,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1900-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1900-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11.42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14.156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15.206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15.504,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21.3021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24.017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28.424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32.31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39.0136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39.522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.0115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.1395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44.102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44.103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44.302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45.031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46.0111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48.031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48.035,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49.325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51.002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51.035,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52.229,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53.208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55.509,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56.085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61.075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68.065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69.081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74.051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78.065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87.146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87.226,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.402,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.403,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.404,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.502,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.503,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.504,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.702,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.801,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90.804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92.142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92.251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113.085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119.021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125.445,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135.748,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137.073,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141.206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
143.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
148.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
148.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151.007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151.077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151.105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151.131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152.202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
153.031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
163.556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168.118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
169.121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
171.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
174.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
177.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
179.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186.054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186.056,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
193.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195.205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197.122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197.3632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197.552,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200.508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200.82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210.125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
213.111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
222.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
226.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
234.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240.007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
